name,query
rubisco_LSU,K01601
rubisco_SSU,K01602
sbpase_bifuncI,K01086
sbpase_bifuncII,K11532
sbpaseI,K01100
sbpaseII,K22315
fdh,K00122
fdh_large,K00123
fd_h2ase,K00532
fd_h2ase_large,K00533
membrane_h2ase_alpha,K18016
membrane_h2ase_beta,K18017
hoxK_h2ase_small,K06282
hoxG_h2ase_large,K06281
hoxZ_h2ase_cyt,K03620
hoxY_h2ase_small,K18007
hoxH_h2ase_large,K00436
hoxU_nife_h2ase_small,K18006
hoxF_nife_h2ase_large,K18005
meoh_dehydrogenase,K00093
n2ase_delta,K00531
n2ase_femo_alpha,K02586
n2ase_femo_beta,K02591
