annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
138265,207,AQRZ01000019.1_12,GCA_000402835.1,K18017,124.7,174.5,0.0
160070,207,ASPA01000031.1_5,GCA_000405605.1,K18017,124.7,182.9,0.0
983711,207,LJUE01000190.1_3,GCA_001303885.1,K18017,124.7,125.5,1.7e-37
1068698,207,LIHJ01000081.1_2,GCA_001399805.1,K18017,124.7,145.7,1.20512e-43
1071697,207,LKUF01000202.1_4,GCA_001412335.1,K18017,124.7,199.6,0.0
1073326,207,LKUD01000092.1_32,GCA_001412355.1,K18017,124.7,202.0,0.0
1098569,207,LEKQ01000001.1_442,GCA_001443005.1,K18017,124.7,162.9,0.0
1238748,207,LGEZ01000004.1_61,GCA_001508005.1,K18017,124.7,127.0,5e-38
1239262,207,LGFI01000017.1_41,GCA_001508155.1,K18017,124.7,166.9,0.0
1244745,207,LGFQ01000006.1_16,GCA_001508935.1,K18017,124.7,181.8,0.0
1245170,207,LGGV01000040.1_11,GCA_001509095.1,K18017,124.7,179.8,0.0
1308575,207,LQHI01000049.1_24,GCA_001515185.1,K18017,124.7,143.1,3.1949599999999997e-43
1309544,207,LQMQ01000066.1_7,GCA_001515205.2,K18017,124.7,136.8,3.69999e-41
1435353,207,LUCB01000020.1_3,GCA_001593865.1,K18017,124.7,149.2,8.407789999999999e-45
1436842,207,LUCE01000006.1_22,GCA_001593935.1,K18017,124.7,145.4,1.20512e-43
1436752,207,LUCE01000004.1_22,GCA_001593935.1,K18017,124.7,124.9,2.4e-37
1441723,207,LSSH01000085.1_29,GCA_001595885.1,K18017,124.7,132.9,5.19999e-40
1441872,207,LSSG01000002.1_4,GCA_001595915.1,K18017,124.7,192.0,0.0
1442258,207,LSSG01000050.1_26,GCA_001595915.1,K18017,124.7,177.2,0.0
1442941,207,LSSI01000044.1_5,GCA_001595945.1,K18017,124.7,169.1,0.0
1505065,207,LVBO01000150.1_3,GCA_001604435.1,K18017,124.7,171.3,0.0
1621566,207,MAGT01000009.1_56,GCA_001717035.1,K18017,124.7,125.6,1.3000000000000001e-37
1840728,207,MEYH01000047.1_13,GCA_001773955.1,K18017,124.7,191.4,0.0
1851717,207,MEYC01000035.1_9,GCA_001775715.1,K18017,124.7,133.1,7.2e-40
1851551,207,MEYC01000007.1_38,GCA_001775715.1,K18017,124.7,143.0,6.60012e-43
1852938,207,MEYF01000062.1_6,GCA_001775755.1,K18017,124.7,136.4,8.10007e-41
1855409,207,MEZH01000004.1_75,GCA_001775995.1,K18017,124.7,140.0,2.59941e-42
1864441,207,MFFN01000003.1_161,GCA_001777915.1,K18017,124.7,133.9,5.1e-40
2001935,207,MGMS01000035.1_13,GCA_001796515.1,K18017,124.7,168.9,0.0
2065881,207,MGTS01000014.1_116,GCA_001799565.1,K18017,124.7,136.1,9.999950000000001e-41
2067363,207,MGTT01000023.1_13,GCA_001799575.1,K18017,124.7,136.3,8.80001e-41
2068382,207,MGTU01000023.1_53,GCA_001799615.1,K18017,124.7,128.9,1.9000000000000002e-38
2069767,207,MGTV01000048.1_11,GCA_001799635.1,K18017,124.7,132.2,1.8e-39
2073144,207,MGTZ01000047.1_17,GCA_001799715.1,K18017,124.7,129.9,9.8e-39
2073654,207,MGUA01000010.1_14,GCA_001799735.1,K18017,124.7,138.9,1.70006e-41
2074631,207,MGUD01000008.1_6,GCA_001799795.1,K18017,124.7,129.4,6.8e-39
2085494,207,MGVA01000064.1_12,GCA_001800245.1,K18017,124.7,146.4,7.42688e-44
2087594,207,MGVC01000079.1_11,GCA_001800285.1,K18017,124.7,133.5,7.1e-40
2092668,207,MGVS01000087.1_4,GCA_001800605.1,K18017,124.7,136.5,7.20001e-41
2190289,207,MHFR01000005.1_20,GCA_001804285.1,K18017,124.7,126.3,1.1e-37
2199520,207,MHBH01000040.1_43,GCA_001804805.1,K18017,124.7,137.6,7.59994e-41
2203313,207,MHBK01000045.1_13,GCA_001804865.1,K18017,124.7,198.3,0.0
2205304,207,MHBM01000293.1_6,GCA_001804885.1,K18017,124.7,146.1,1.79366e-43
2349487,207,MNYD01000012.1_17,GCA_001872925.1,K18017,124.7,139.5,5.5001e-42
2645724,207,MSGU01000093.1_58,GCA_001940805.1,K18017,124.7,166.1,0.0
2695948,207,MTLP01000012.1_161,GCA_002009975.1,K18017,124.7,219.8,0.0
2703724,207,MTNL01000104.1_3,GCA_002010365.1,K18017,124.7,173.2,0.0
2717690,207,MTNE01000124.1_2,GCA_002011355.1,K18017,124.7,181.1,0.0
2717889,207,MTNG01000110.1_17,GCA_002011395.1,K18017,124.7,191.6,0.0
2718969,207,MTNI01000050.1_14,GCA_002011415.1,K18017,124.7,163.9,0.0
2719798,207,MTNJ01000029.1_57,GCA_002011425.1,K18017,124.7,172.0,0.0
2774132,207,MVQD01000037.1_69,GCA_002067095.1,K18017,124.7,209.5,0.0
2815677,207,MVZK01000114.1_6,GCA_002068355.1,K18017,124.7,162.9,0.0
2817411,207,MVZQ01000010.1_39,GCA_002068435.1,K18017,124.7,200.4,0.0
2862758,207,MWDE01000001.1_14,GCA_002070395.1,K18017,124.7,183.7,0.0
2872406,207,MWDQ01000137.1_8,GCA_002070645.1,K18017,124.7,137.7,2.70002e-41
2885189,207,MWEZ01000027.1_13,GCA_002071335.1,K18017,124.7,179.1,0.0
2939323,207,NBMG01000009.1_12,GCA_002084865.1,K18017,124.7,177.9,0.0
3227409,207,NJDO01000026.1_20,GCA_002254385.1,K18017,124.7,156.5,0.0
3235348,207,NJDG01000013.1_11,GCA_002254885.1,K18017,124.7,178.9,0.0
3237911,207,NJEK01000061.1_9,GCA_002255105.1,K18017,124.7,151.5,1.4013e-45
3412343,207,LMVO01000023.1_5,GCA_002287215.1,K18017,124.7,193.2,0.0
3598462,207,DBPO01000120.1_1,GCA_002304915.1,K18017,124.7,184.8,0.0
3860970,207,DCDG01000022.1_159,GCA_002316315.1,K18017,124.7,133.9,4.6e-40
3990883,207,DCUV01000032.1_327,GCA_002328585.1,K18017,124.7,128.2,3.5e-38
4067180,207,DCVK01000048.1_30,GCA_002335385.1,K18017,124.7,135.4,2e-40
4344081,207,DDXR01000048.1_10,GCA_002347565.1,K18017,124.7,135.4,1.8e-40
4348661,207,DDWR01000019.1_14,GCA_002347655.1,K18017,124.7,175.4,0.0
