annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91839782,207,CP000781.1_2193,GCA_000017645.1,K03620,124.27,341.8,0.0
91897633,207,CM000855.1_1257,GCA_000163995.1,K03620,124.27,263.7,0.0
11725,207,CP003180.1_93,GCA_000237975.1,K03620,124.27,186.1,0.0
15823,207,CM001438.1_1156,GCA_000244995.1,K03620,124.27,318.0,0.0
16084,207,CM001438.1_1595,GCA_000244995.1,K03620,124.27,333.6,0.0
31666,207,CAGP01000122.1_3,GCA_000263275.1,K03620,124.27,192.7,0.0
65526,207,CP003920.1_1935,GCA_000310245.1,K03620,124.27,196.4,0.0
86887,207,AMYZ01000007.1_88,GCA_000335715.1,K03620,124.27,319.3,0.0
105193,207,KB901031.1_3,GCA_000379225.1,K03620,124.27,156.9,0.0
105563,207,KB901075.1_6,GCA_000379225.1,K03620,124.27,156.9,0.0
254118,207,HF999746.1_142,GCA_000434215.1,K03620,124.27,253.0,0.0
266414,207,FR895482.1_4,GCA_000434775.1,K03620,124.27,132.4,1.1999999999999999e-39
278822,207,FR896071.1_42,GCA_000435475.1,K03620,124.27,153.1,0.0
285681,207,FR895141.1_48,GCA_000435675.1,K03620,124.27,152.1,1.4013e-45
292035,207,FR884632.1_78,GCA_000436075.1,K03620,124.27,151.7,1.4013e-45
323060,207,FR901147.1_45,GCA_000437635.1,K03620,124.27,267.7,0.0
369450,207,CP006833.1_912,GCA_000495505.1,K03620,124.27,258.3,0.0
384561,207,AYNO01000013.1_10,GCA_000500915.1,K03620,124.27,338.7,0.0
392104,207,AZMI01000001.1_467,GCA_000508625.1,K03620,124.27,197.9,0.0
414983,207,CP007051.1_119,GCA_000517565.1,K03620,124.27,204.1,0.0
427959,207,JAFS01000001.1_1056,GCA_000526255.1,K03620,124.27,162.9,0.0
466768,207,JIAQ01000014.1_40,GCA_000620725.1,K03620,124.27,250.1,0.0
532349,207,BAYV01000013.1_49,GCA_000710935.1,K03620,124.27,162.4,0.0
617541,207,JQGK01000001.1_165,GCA_000743525.1,K03620,124.27,238.9,0.0
625719,207,JQGL01000114.1_28,GCA_000747095.1,K03620,124.27,181.6,0.0
627281,207,JQDQ01000209.1_2,GCA_000747625.2,K03620,124.27,216.0,0.0
640165,207,CCFE01000021.1_194,GCA_000752035.1,K03620,124.27,277.2,0.0
669399,207,BBMW01000010.1_91,GCA_000759755.1,K03620,124.27,296.3,0.0
682629,207,JROS01000028.1_133,GCA_000769715.1,K03620,124.27,214.9,0.0
688117,207,JSZA02000025.1_45,GCA_000785145.2,K03620,124.27,176.5,0.0
695126,207,JUEF01000100.1_7,GCA_000802045.1,K03620,124.27,139.4,2.3999999999999997e-41
699411,207,JTDA01000016.1_90,GCA_000803105.1,K03620,124.27,255.4,0.0
725196,207,AP014683.1_2021,GCA_000828975.1,K03620,124.27,328.1,0.0
726914,207,JQIS01000022.1_5,GCA_000830175.1,K03620,124.27,185.8,0.0
728357,207,JQIT01000002.1_454,GCA_000830255.1,K03620,124.27,190.6,0.0
749780,207,LM997411.1_1144,GCA_000953475.1,K03620,124.27,266.5,0.0
784393,207,LADS01000045.1_51,GCA_000961725.1,K03620,124.27,203.2,0.0
785803,207,LAEA01000079.1_6,GCA_000961745.1,K03620,124.27,331.2,0.0
788278,207,LADT01000087.1_57,GCA_000961765.1,K03620,124.27,140.1,1.70006e-41
793612,207,LADV01000275.1_1,GCA_000961805.1,K03620,124.27,167.5,0.0
809587,207,LARN01000007.1_39,GCA_000980495.1,K03620,124.27,270.7,0.0
886887,207,LDXJ01000062.1_167,GCA_001029295.1,K03620,124.27,153.3,1.4013e-45
921679,207,LGTB01000010.1_99,GCA_001238275.1,K03620,124.27,296.5,0.0
969357,207,LJNS01000005.1_10,GCA_001303245.1,K03620,124.27,318.3,0.0
970547,207,LJTN01000006.1_72,GCA_001303415.1,K03620,124.27,231.0,0.0
995771,207,LJTS01000180.1_5,GCA_001304425.1,K03620,124.27,187.7,0.0
1012174,207,BAXG01000035.1_24,GCA_001310455.1,K03620,124.27,344.7,0.0
1040480,207,LJSF01000037.1_17,GCA_001314655.1,K03620,124.27,337.0,0.0
1113445,207,CP013099.1_1796,GCA_001447805.1,K03620,124.27,186.6,0.0
1122769,207,LNEC01000007.1_174,GCA_001464035.1,K03620,124.27,125.0,7.1e-37
1226709,207,FAON01000007.1_48,GCA_001485605.1,K03620,124.27,230.1,0.0
1228643,207,LN908986.1_923,GCA_001486445.1,K03620,124.27,162.7,0.0
1230778,207,FAXN01000043.1_30,GCA_001493195.1,K03620,124.27,225.9,0.0
1257392,207,LPWA01000090.1_107,GCA_001510895.1,K03620,124.27,283.4,0.0
1263836,207,LFRU01000009.1_18,GCA_001512495.1,K03620,124.27,171.9,0.0
1274170,207,LFSJ01000050.1_13,GCA_001512695.1,K03620,124.27,125.3,2.9e-37
1276929,207,LFSQ01000029.1_35,GCA_001512785.1,K03620,124.27,177.8,0.0
1295167,207,LFSR01000008.1_15,GCA_001513155.1,K03620,124.27,164.9,0.0
1306933,207,LFTQ01000205.1_17,GCA_001513545.1,K03620,124.27,156.5,0.0
1310159,207,LNDB01000006.1_62,GCA_001515265.1,K03620,124.27,172.3,0.0
1320046,207,LOEW01000196.1_26,GCA_001516045.1,K03620,124.27,160.2,0.0
1322803,207,LOEZ01000077.1_48,GCA_001516055.1,K03620,124.27,272.2,0.0
1322855,207,LOEZ01000080.1_71,GCA_001516055.1,K03620,124.27,159.6,0.0
1444196,207,CP014773.1_1974,GCA_001596135.1,K03620,124.27,139.8,2.29995e-41
1458124,207,LUZT01000006.1_644,GCA_001602925.1,K03620,124.27,247.0,0.0
1483769,207,LUZY01000013.1_191,GCA_001603805.1,K03620,124.27,227.7,0.0
1514509,207,LUOO01000100.1_15,GCA_001626765.1,K03620,124.27,338.0,0.0
1533887,207,LUTY01002554.1_4,GCA_001640045.1,K03620,124.27,169.1,0.0
