annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
104889,207,KB901005.1_3,GCA_000379225.1,K18007,210.07,269.2,0.0
139169,207,AQSL01000130.1_16,GCA_000403035.1,K18007,210.07,249.3,0.0
364828,207,AWNW01000002.1_45,GCA_000493945.1,K18007,210.07,247.3,0.0
437817,207,JFAX01000001.1_142,GCA_000585015.1,K18007,210.07,258.0,0.0
440543,207,JEMX01000025.1_63,GCA_000585055.1,K18007,210.07,261.5,0.0
444150,207,JEMY01000054.1_14,GCA_000585075.1,K18007,210.07,265.5,0.0
467128,207,JIAQ01000021.1_56,GCA_000620725.1,K18007,210.07,249.8,0.0
530736,207,JMRP01000013.1_30,GCA_000708525.1,K18007,210.07,222.5,0.0
681627,207,JROS01000057.1_52,GCA_000769715.1,K18007,210.07,217.8,0.0
722954,207,AP014633.1_1501,GCA_000828835.1,K18007,210.07,265.6,0.0
827284,207,LBIU01000437.1_4,GCA_000987445.1,K18007,210.07,263.0,0.0
927796,207,CP011339.1_781,GCA_001264245.1,K18007,210.07,249.2,0.0
973247,207,LJTQ01000074.1_6,GCA_001303445.1,K18007,210.07,262.2,0.0
997314,207,LJUQ01000204.1_5,GCA_001304505.1,K18007,210.07,247.4,0.0
1007768,207,BAXE01000001.1_629,GCA_001310415.1,K18007,210.07,229.8,0.0
1011215,207,BAXG01000015.1_60,GCA_001310455.1,K18007,210.07,235.5,0.0
1025834,207,BBCK01000152.1_3,GCA_001312005.1,K18007,210.07,228.0,0.0
1053665,207,LJZT01000087.1_11,GCA_001314905.1,K18007,210.07,242.5,0.0
1098382,207,LEKQ01000001.1_184,GCA_001443005.1,K18007,210.07,230.6,0.0
1129497,207,LNDN01000390.1_4,GCA_001464065.1,K18007,210.07,237.0,0.0
1239599,207,LGFI01000002.1_20,GCA_001508155.1,K18007,210.07,229.7,0.0
1242457,207,LGFB01000048.1_7,GCA_001508835.1,K18007,210.07,236.8,0.0
1244158,207,LGFQ01000025.1_17,GCA_001508935.1,K18007,210.07,228.9,0.0
1244016,207,LGFQ01000018.1_2,GCA_001508935.1,K18007,210.07,222.9,0.0
1245423,207,LGGV01000012.1_17,GCA_001509095.1,K18007,210.07,226.2,0.0
1386881,207,LSNW01000032.1_183,GCA_001566965.1,K18007,210.07,259.4,0.0
1391071,207,LMZT01000121.1_30,GCA_001567115.1,K18007,210.07,247.2,0.0
1397637,207,JZRA01000009.1_100,GCA_001567485.1,K18007,210.07,246.6,0.0
1408950,207,LSCM01000033.1_3,GCA_001577185.1,K18007,210.07,246.5,0.0
1409676,207,LSCC01000005.1_29,GCA_001577215.1,K18007,210.07,240.1,0.0
1482014,207,LUZV01000096.1_3,GCA_001603765.1,K18007,210.07,216.9,0.0
1504074,207,LVBO01000032.1_3,GCA_001604435.1,K18007,210.07,227.9,0.0
1539940,207,LUUF01000003.1_60,GCA_001644045.1,K18007,210.07,263.2,0.0
1562559,207,LWRO01000031.1_23,GCA_001657325.1,K18007,210.07,246.3,0.0
1596313,207,MBRE01000057.1_41,GCA_001698425.1,K18007,210.07,248.4,0.0
1717774,207,MELI01000068.1_7,GCA_001767575.1,K18007,210.07,220.8,0.0
1751585,207,MEOL01000028.1_48,GCA_001769215.1,K18007,210.07,247.3,0.0
1753433,207,MEOQ01000040.1_134,GCA_001769275.1,K18007,210.07,244.5,0.0
