annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91832795,207,AP009389.1_1755,GCA_000010565.1,K06282,373.47,397.8,0.0
91837832,207,CP000746.1_1289,GCA_000017245.1,K06282,373.47,458.7,0.0
91839780,207,CP000781.1_2191,GCA_000017645.1,K06282,373.47,556.2,0.0
91897636,207,CM000855.1_1259,GCA_000163995.1,K06282,373.47,439.0,0.0
11723,207,CP003180.1_91,GCA_000237975.1,K06282,373.47,434.5,0.0
16951,207,CM001438.1_3211,GCA_000244995.1,K06282,373.47,457.6,0.0
16086,207,CM001438.1_1598,GCA_000244995.1,K06282,373.47,556.1,0.0
31669,207,CAGP01000122.1_5,GCA_000263275.1,K06282,373.47,452.2,0.0
58043,207,ALAO01000114.1_14,GCA_000307955.1,K06282,373.47,412.7,0.0
65529,207,CP003920.1_1937,GCA_000310245.1,K06282,373.47,464.5,0.0
72815,207,CP003938.1_1295,GCA_000330845.1,K06282,373.47,464.3,0.0
86889,207,AMYZ01000007.1_90,GCA_000335715.1,K06282,373.47,544.8,0.0
113223,207,KB906737.1_251,GCA_000381585.1,K06282,373.47,374.9,0.0
133204,207,APJY01000004.1_31,GCA_000389735.1,K06282,373.47,393.0,0.0
157062,207,APFI01000136.1_8,GCA_000403945.1,K06282,373.47,420.8,0.0
254120,207,HF999746.1_144,GCA_000434215.1,K06282,373.47,475.2,0.0
266415,207,FR895482.1_6,GCA_000434775.1,K06282,373.47,374.5,0.0
285682,207,FR895141.1_50,GCA_000435675.1,K06282,373.47,379.5,0.0
323058,207,FR901147.1_43,GCA_000437635.1,K06282,373.47,525.6,0.0
369453,207,CP006833.1_914,GCA_000495505.1,K06282,373.47,449.0,0.0
384559,207,AYNO01000013.1_7,GCA_000500915.1,K06282,373.47,552.9,0.0
414986,207,CP007051.1_121,GCA_000517565.1,K06282,373.47,473.1,0.0
427957,207,JAFS01000001.1_1054,GCA_000526255.1,K06282,373.47,440.5,0.0
435684,207,ASRH01000035.1_1,GCA_000565255.1,K06282,373.47,394.3,0.0
438918,207,JFAX01000010.1_110,GCA_000585015.1,K06282,373.47,448.3,0.0
440713,207,JEMX01000028.1_148,GCA_000585055.1,K06282,373.47,453.5,0.0
442443,207,JEMY01000004.1_78,GCA_000585075.1,K06282,373.47,447.5,0.0
466767,207,JIAQ01000014.1_37,GCA_000620725.1,K06282,373.47,493.2,0.0
494804,207,JJNX02000013.1_10,GCA_000681355.2,K06282,373.47,402.3,0.0
538903,207,KL568659.1_18,GCA_000715605.1,K06282,373.47,381.3,0.0
569332,207,JOAZ01000003.1_114,GCA_000720535.1,K06282,373.47,388.5,0.0
617544,207,JQGK01000001.1_167,GCA_000743525.1,K06282,373.47,449.7,0.0
625711,207,JQGL01000114.1_21,GCA_000747095.1,K06282,373.47,385.7,0.0
625716,207,JQGL01000114.1_26,GCA_000747095.1,K06282,373.47,464.0,0.0
627564,207,JQDQ01000246.1_8,GCA_000747625.2,K06282,373.47,455.7,0.0
638872,207,CCMQ01000027.1_64,GCA_000751835.1,K06282,373.47,457.2,0.0
640163,207,CCFE01000021.1_192,GCA_000752035.1,K06282,373.47,472.9,0.0
644767,207,LM994634.1_153,GCA_000752995.2,K06282,373.47,456.5,0.0
667338,207,JPYW01001269.1_1,GCA_000759655.1,K06282,373.47,446.1,0.0
669231,207,BBMW01000011.1_300,GCA_000759755.1,K06282,373.47,466.2,0.0
669397,207,BBMW01000010.1_89,GCA_000759755.1,K06282,373.47,515.7,0.0
676807,207,JROA01000001.1_2205,GCA_000762985.1,K06282,373.47,396.9,0.0
682627,207,JROS01000028.1_131,GCA_000769715.1,K06282,373.47,497.2,0.0
695128,207,JUEF01000100.1_9,GCA_000802045.1,K06282,373.47,422.5,0.0
