annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91837834,207,CP000746.1_1292,GCA_000017245.1,K06281,669.73,692.0,0.0
91839781,207,CP000781.1_2192,GCA_000017645.1,K06281,669.73,733.7,0.0
16085,207,CM001438.1_1597,GCA_000244995.1,K06281,669.73,735.0,0.0
16950,207,CM001438.1_3208,GCA_000244995.1,K06281,669.73,748.5,0.0
58041,207,ALAO01000114.1_13,GCA_000307955.1,K06281,669.73,681.3,0.0
72817,207,CP003938.1_1298,GCA_000330845.1,K06281,669.73,696.4,0.0
86888,207,AMYZ01000007.1_89,GCA_000335715.1,K06281,669.73,780.9,0.0
254119,207,HF999746.1_143,GCA_000434215.1,K06281,669.73,709.0,0.0
323059,207,FR901147.1_44,GCA_000437635.1,K06281,669.73,731.0,0.0
384560,207,AYNO01000013.1_8,GCA_000500915.1,K06281,669.73,759.8,0.0
438920,207,JFAX01000010.1_113,GCA_000585015.1,K06281,669.73,686.1,0.0
440711,207,JEMX01000028.1_145,GCA_000585055.1,K06281,669.73,690.8,0.0
442445,207,JEMY01000004.1_81,GCA_000585075.1,K06281,669.73,687.5,0.0
625718,207,JQGL01000114.1_27,GCA_000747095.1,K06281,669.73,677.4,0.0
638870,207,CCMQ01000027.1_61,GCA_000751835.1,K06281,669.73,680.5,0.0
640164,207,CCFE01000021.1_193,GCA_000752035.1,K06281,669.73,748.0,0.0
640591,207,CCFE01000024.1_54,GCA_000752035.1,K06281,669.73,730.0,0.0
644769,207,LM994634.1_156,GCA_000752995.2,K06281,669.73,678.0,0.0
666420,207,KN173890.1_3,GCA_000759655.1,K06281,669.73,779.5,0.0
669229,207,BBMW01000011.1_297,GCA_000759755.1,K06281,669.73,696.4,0.0
669398,207,BBMW01000010.1_90,GCA_000759755.1,K06281,669.73,735.9,0.0
682628,207,JROS01000028.1_132,GCA_000769715.1,K06281,669.73,703.1,0.0
699412,207,JTDA01000016.1_91,GCA_000803105.1,K06281,669.73,713.9,0.0
723774,207,AP014633.1_3286,GCA_000828835.1,K06281,669.73,790.7,0.0
725197,207,AP014683.1_2022,GCA_000828975.1,K06281,669.73,748.5,0.0
726913,207,JQIS01000022.1_4,GCA_000830175.1,K06281,669.73,671.3,0.0
749779,207,LM997411.1_1143,GCA_000953475.1,K06281,669.73,751.6,0.0
