annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
134984,207,AQRW01000174.1_43,GCA_000402295.1,K18016,504.4,525.8,0.0
138266,207,AQRZ01000019.1_13,GCA_000402835.1,K18016,504.4,581.3,0.0
139260,207,AQSL01000138.1_11,GCA_000403035.1,K18016,504.4,516.9,0.0
160069,207,ASPA01000031.1_1,GCA_000405605.1,K18016,504.4,597.9,0.0
964745,207,LIZR01000039.1_2,GCA_001302825.1,K18016,504.4,505.3,0.0
986566,207,LJUY01000002.1_32,GCA_001304015.1,K18016,504.4,522.8,0.0
987089,207,LJUD01000001.1_21,GCA_001304035.1,K18016,504.4,511.1,0.0
996724,207,LJUQ01000118.1_13,GCA_001304505.1,K18016,504.4,508.1,0.0
1068699,207,LIHJ01000081.1_20,GCA_001399805.1,K18016,504.4,553.7,0.0
1071698,207,LKUF01000202.1_5,GCA_001412335.1,K18016,504.4,615.0,0.0
1073325,207,LKUD01000092.1_31,GCA_001412355.1,K18016,504.4,620.8,0.0
1098568,207,LEKQ01000001.1_441,GCA_001443005.1,K18016,504.4,612.6,0.0
1238749,207,LGEZ01000004.1_62,GCA_001508005.1,K18016,504.4,549.2,0.0
1239263,207,LGFI01000017.1_42,GCA_001508155.1,K18016,504.4,641.5,0.0
1244746,207,LGFQ01000006.1_17,GCA_001508935.1,K18016,504.4,589.8,0.0
1298075,207,LFTO01000228.1_27,GCA_001513335.1,K18016,504.4,530.7,0.0
1300008,207,LFTK01000016.1_5,GCA_001513385.1,K18016,504.4,523.8,0.0
1308573,207,LQHI01000049.1_23,GCA_001515185.1,K18016,504.4,522.4,0.0
1309545,207,LQMQ01000066.1_8,GCA_001515205.2,K18016,504.4,514.2,0.0
1409161,207,LSCM01000070.1_2,GCA_001577185.1,K18016,504.4,508.3,0.0
1409666,207,LSCC01000005.1_14,GCA_001577215.1,K18016,504.4,506.1,0.0
1433535,207,LUCF01000086.1_11,GCA_001593845.1,K18016,504.4,506.7,0.0
1435354,207,LUCB01000020.1_4,GCA_001593865.1,K18016,504.4,509.2,0.0
1436843,207,LUCE01000006.1_23,GCA_001593935.1,K18016,504.4,527.7,0.0
1441722,207,LSSH01000085.1_28,GCA_001595885.1,K18016,504.4,521.4,0.0
1441871,207,LSSG01000002.1_3,GCA_001595915.1,K18016,504.4,607.8,0.0
1442257,207,LSSG01000050.1_25,GCA_001595915.1,K18016,504.4,607.7,0.0
1442940,207,LSSI01000044.1_4,GCA_001595945.1,K18016,504.4,585.9,0.0
1737311,207,MEOE01000013.1_239,GCA_001768565.1,K18016,504.4,526.1,0.0
