annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91839620,207,CP000781.1_1935,GCA_000017645.1,K01601,354.17,774.2,0.0
91855518,207,CT971583.1_679,GCA_000063505.1,K01601,354.17,770.9,0.0
91856761,207,CT978603.1_820,GCA_000063525.1,K01601,354.17,774.6,0.0
91861298,207,FP565575.1_1848,GCA_000091165.1,K01601,354.17,768.1,0.0
91864577,207,CP002098.1_1635,GCA_000145985.1,K01601,354.17,535.7,0.0
91919005,207,ABYL01000151.1_15,GCA_000173575.1,K01601,354.17,783.4,0.0
91938548,207,AFHY01000005.1_33,GCA_000213395.2,K01601,354.17,792.5,0.0
91941427,207,GL947594.1_536,GCA_000218705.1,K01601,354.17,774.3,0.0
91942497,207,GL947595.1_1068,GCA_000218745.1,K01601,354.17,769.2,0.0
8528,207,AGIG01000034.1_35,GCA_000227525.2,K01601,354.17,778.6,0.0
11307,207,CP003179.1_2932,GCA_000237975.1,K01601,354.17,763.2,0.0
15274,207,CM001438.1_180,GCA_000244995.1,K01601,354.17,763.7,0.0
22814,207,JH610699.1_4,GCA_000252485.1,K01601,354.17,830.1,0.0
38191,207,AKCV02000026.1_465,GCA_000272025.2,K01601,354.17,778.8,0.0
44120,207,ALPF01000045.1_2,GCA_000291825.1,K01601,354.17,362.5,0.0
52767,207,CP003083.1_315,GCA_000306725.1,K01601,354.17,491.9,0.0
62801,207,CM001633.1_1311,GCA_000309945.1,K01601,354.17,839.7,0.0
68403,207,CP003940.1_116,GCA_000317655.1,K01601,354.17,820.7,0.0
75456,207,KB235926.1_81,GCA_000332255.1,K01601,354.17,836.6,0.0
94202,207,CP002916.1_192,GCA_000350305.1,K01601,354.17,410.8,0.0
99605,207,KB889825.1_5,GCA_000372785.1,K01601,354.17,791.4,0.0
101713,207,KB899087.1_2557,GCA_000378025.1,K01601,354.17,792.5,0.0
104500,207,KB900871.1_11,GCA_000379225.1,K01601,354.17,425.0,0.0
106855,207,KB904821.1_2762,GCA_000380225.1,K01601,354.17,824.3,0.0
135698,207,AQRL01000017.1_5,GCA_000402515.1,K01601,354.17,469.5,0.0
137582,207,AQSC01000061.1_86,GCA_000402775.1,K01601,354.17,530.6,0.0
158762,207,ASMP01000003.1_19,GCA_000405225.1,K01601,354.17,509.0,0.0
184215,207,ATWE01000002.1_433,GCA_000421085.1,K01601,354.17,769.3,0.0
355025,207,CP006668.1_1445,GCA_000471925.1,K01601,354.17,765.4,0.0
388935,207,CP006913.1_645,GCA_000503875.1,K01601,354.17,470.3,0.0
427961,207,JAFS01000001.1_1063,GCA_000526255.1,K01601,354.17,415.9,0.0
427829,207,JAFS01000001.1_818,GCA_000526255.1,K01601,354.17,739.0,0.0
439466,207,JFAX01000021.1_50,GCA_000585015.1,K01601,354.17,426.9,0.0
440065,207,JEMX01000010.1_100,GCA_000585055.1,K01601,354.17,426.2,0.0
443406,207,JEMY01000026.1_47,GCA_000585075.1,K01601,354.17,428.8,0.0
453362,207,CBZS010000533.1_1,GCA_000613065.1,K01601,354.17,836.3,0.0
483040,207,JFLJ01000108.1_2,GCA_000634115.1,K01601,354.17,368.8,0.0
484786,207,JFLX01000006.1_4,GCA_000634215.1,K01601,354.17,768.4,0.0
485372,207,JFNH01000096.1_3,GCA_000634415.1,K01601,354.17,769.2,0.0
486105,207,JFNU01000005.1_100,GCA_000634515.1,K01601,354.17,768.9,0.0
