annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
18840632,207,JAAYOT010000133.1_8,GCA_012520205.1,K00532,925.7,1035.1,0.0
23761384,207,SVCK01000010.1_25,GCA_015058375.1,K00532,925.7,994.7,0.0
23763350,207,SVCL01000179.1_5,GCA_015058405.1,K00532,925.7,1007.2,0.0
23764921,207,SVCF01000033.1_2,GCA_015058475.1,K00532,925.7,1017.1,0.0
23765216,207,SVCE01000009.1_14,GCA_015058525.1,K00532,925.7,1014.4,0.0
93762578,207,JAGHFX010000043.1_45,GCA_017888565.1,K00532,925.7,1046.4,0.0
93770008,207,JAGHEJ010000004.1_7,GCA_017889345.1,K00532,925.7,974.5,0.0
33010623,207,JAHAIU010000237.1_1,GCA_018372555.1,K00532,925.7,1038.8,0.0
33012604,207,JAHAIF010000015.1_26,GCA_018372875.1,K00532,925.7,1034.3,0.0
35537213,207,UQBY01000026.1_15,GCA_900539375.1,K00532,925.7,1003.2,0.0
37157013,207,URKQ01000003.1_121,GCA_900548455.1,K00532,925.7,953.5,0.0
37874984,207,CAAEXL010000054.1_3,GCA_900759995.1,K00532,925.7,1040.3,0.0
38132245,207,CAAGHK010000077.1_15,GCA_900769625.1,K00532,925.7,1009.6,0.0
40310490,207,CACZYK010000021.1_15,GCA_902785295.1,K00532,925.7,999.8,0.0
45775962,207,NC_003030.1_28,GCF_000008765.1,K00532,925.7,1021.6,0.0
45938423,207,NC_008261.1_2563,GCF_000013285.1,K00532,925.7,1031.1,0.0
45990849,207,NC_008593.1_1357,GCF_000014125.1,K00532,925.7,937.3,0.0
46093891,207,NC_009706.1_2247,GCF_000016505.1,K00532,925.7,1006.9,0.0
46635543,207,NC_014393.1_4088,GCF_000145275.1,K00532,925.7,1017.4,0.0
47463638,207,NC_015425.1_1512,GCF_000204565.1,K00532,925.7,943.2,0.0
48025124,207,NZ_BAEV01000162.1_1,GCF_000246895.1,K00532,925.7,1013.3,0.0
48231795,207,NC_015913.1_932,GCF_000270205.1,K00532,925.7,1007.5,0.0
48419892,207,NC_016012.1_799,GCF_000283555.1,K00532,925.7,999.6,0.0
49408688,207,NZ_APMH01000035.1_28,GCF_000359585.1,K00532,925.7,1011.7,0.0
50114387,207,NC_021182.1_45,GCF_000389635.1,K00532,925.7,1014.4,0.0
50153693,207,NZ_ASRV01000092.1_45,GCF_000401215.1,K00532,925.7,1040.9,0.0
51407852,207,NC_022571.1_24,GCF_000473995.1,K00532,925.7,1032.3,0.0
51572133,207,NZ_AVSV01000016.1_24,GCF_000498355.1,K00532,925.7,1020.7,0.0
51572257,207,NZ_AVSV01000017.1_61,GCF_000498355.1,K00532,925.7,930.5,0.0
52047189,207,NZ_HG917868.1_450,GCF_000577895.1,K00532,925.7,1006.6,0.0
52500429,207,NZ_JMLJ01000003.1_42,GCF_000686705.1,K00532,925.7,1032.0,0.0
52503838,207,NZ_JMLK01000022.1_7,GCF_000686725.1,K00532,925.7,986.8,0.0
54147820,207,NZ_CP006905.1_1085,GCF_000789395.1,K00532,925.7,1034.5,0.0
54282345,207,NZ_CP009268.1_21,GCF_000807255.1,K00532,925.7,1020.6,0.0
54513809,207,NZ_CCXK01000017.1_622,GCF_000821305.1,K00532,925.7,988.6,0.0
54547516,207,NZ_CP010520.1_23,GCF_000827935.1,K00532,925.7,1033.8,0.0
54819030,207,NZ_LN679999.1_72,GCF_000953675.1,K00532,925.7,937.0,0.0
55894914,207,NZ_LGVB01000015.1_3344,GCF_001270375.1,K00532,925.7,1009.2,0.0
56187746,207,NZ_LN879468.1_1449,GCF_001403635.1,K00532,925.7,969.2,0.0
64952356,207,NZ_LN890324.1_108,GCF_001458595.1,K00532,925.7,1032.2,0.0
66290309,207,NZ_LXFF01000036.1_10,GCF_001655775.1,K00532,925.7,996.7,0.0
67690311,207,NZ_MCGV01000001.1_1977,GCF_001705235.1,K00532,925.7,1015.1,0.0
68880171,207,NZ_CP017253.2_23,GCF_001735765.2,K00532,925.7,1045.1,0.0
69830022,207,NZ_LZYT01000014.1_11,GCF_002006355.1,K00532,925.7,1019.4,0.0
69615495,207,NZ_MZGV01000020.1_54,GCF_002029235.1,K00532,925.7,1008.5,0.0
69619226,207,NZ_MZGT01000116.1_1,GCF_002029255.1,K00532,925.7,1029.3,0.0
69634297,207,NZ_LTAY01000059.1_22,GCF_002050515.1,K00532,925.7,999.6,0.0
64491348,207,NZ_CP016786.1_29,GCF_002285495.1,K00532,925.7,1039.2,0.0
64217624,207,NZ_CP018624.1_30,GCF_002327185.1,K00532,925.7,1040.3,0.0
63529070,207,NZ_AUUU01000050.1_16,GCF_002760435.1,K00532,925.7,1029.9,0.0
61496713,207,NZ_PVXQ01000027.1_31,GCF_002995745.1,K00532,925.7,1009.1,0.0
72189057,207,NZ_CP023671.1_1571,GCF_003606265.1,K00532,925.7,1054.9,0.0
61253483,207,NZ_CP025746.1_1872,GCF_004015185.1,K00532,925.7,1030.0,0.0
58892997,207,NZ_SRYR01000013.1_20,GCF_004794105.1,K00532,925.7,1038.8,0.0
57638918,207,NZ_AP019716.1_23,GCF_006742065.1,K00532,925.7,1016.2,0.0
57412672,207,NZ_SULK01000020.1_20,GCF_007115085.1,K00532,925.7,1028.5,0.0
74311667,207,NZ_WHJC01000058.1_13,GCF_009295725.1,K00532,925.7,1001.5,0.0
