annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91885209,207,DS995276.1_2821,GCA_000156115.1,K11532,476.47,491.5,0.0
91890773,207,DS999531.1_2263,GCA_000158135.1,K11532,476.47,501.8,0.0
91905894,207,AAXZ01000013.1_67,GCA_000169395.1,K11532,476.47,499.7,0.0
91913788,207,ABHC01000008.1_22,GCA_000171835.1,K11532,476.47,516.5,0.0
17980,207,JH599911.1_3,GCA_000245075.1,K11532,476.47,514.1,0.0
33004,207,CP013070.1_2026,GCA_000264945.2,K11532,476.47,524.8,0.0
44303,207,ALYF01000002.1_113,GCA_000293845.2,K11532,476.47,496.3,0.0
82872,207,BACX01000741.1_2,GCA_000333335.1,K11532,476.47,518.2,0.0
101147,207,KB899087.1_1625,GCA_000378025.1,K11532,476.47,517.0,0.0
356392,207,AVDB01000002.1_256,GCA_000472185.1,K11532,476.47,499.4,0.0
385993,207,AYNO01000144.1_8,GCA_000500915.1,K11532,476.47,507.9,0.0
386934,207,AYSC01000009.1_45,GCA_000503195.1,K11532,476.47,527.0,0.0
401594,207,BAOK01000001.1_1016,GCA_000509225.1,K11532,476.47,518.7,0.0
410632,207,KI912007.1_141,GCA_000517005.1,K11532,476.47,521.5,0.0
419068,207,JADL01000013.1_24,GCA_000518365.1,K11532,476.47,524.1,0.0
532550,207,BAYV01000010.1_54,GCA_000710935.1,K11532,476.47,497.1,0.0
536449,207,JMIV01000005.1_674,GCA_000714765.1,K11532,476.47,520.6,0.0
598732,207,JPOM01000001.1_1139,GCA_000733915.1,K11532,476.47,488.3,0.0
619668,207,JQNH01000001.1_1104,GCA_000745135.1,K11532,476.47,521.6,0.0
629512,207,CCMO02000001.1_3421,GCA_000751295.2,K11532,476.47,523.8,0.0
661126,207,CCSI01000002.1_38,GCA_000756795.1,K11532,476.47,518.5,0.0
666785,207,KN173958.1_5,GCA_000759655.1,K11532,476.47,496.1,0.0
691067,207,JTEV01000020.1_95,GCA_000786105.1,K11532,476.47,485.7,0.0
709088,207,CCNB01000004.1_279,GCA_000824785.1,K11532,476.47,530.5,0.0
715420,207,CCNA01000060.1_284,GCA_000824805.1,K11532,476.47,529.0,0.0
717479,207,LM655194.1_40,GCA_000824825.2,K11532,476.47,530.2,0.0
720826,207,CCNC01000137.1_33,GCA_000824845.1,K11532,476.47,527.7,0.0
774875,207,LADQ01000188.1_19,GCA_000961635.1,K11532,476.47,485.2,0.0
781725,207,LADW01000007.1_21,GCA_000961695.1,K11532,476.47,506.2,0.0
785335,207,LAEA01000175.1_8,GCA_000961745.1,K11532,476.47,522.5,0.0
789395,207,LADU01000005.1_45,GCA_000961795.1,K11532,476.47,492.1,0.0
806441,207,BBSY01000003.1_717,GCA_000974665.1,K11532,476.47,489.6,0.0
814603,207,LAQD01000041.1_16,GCA_000981705.1,K11532,476.47,499.0,0.0
922913,207,LGTB01000027.1_80,GCA_001238275.1,K11532,476.47,517.4,0.0
945472,207,LJHX01000024.1_26,GCA_001295935.1,K11532,476.47,516.2,0.0
948007,207,LJHR01000004.1_121,GCA_001296005.1,K11532,476.47,534.6,0.0
1016180,207,BAXV01000059.1_22,GCA_001310715.1,K11532,476.47,526.9,0.0
1040174,207,LJSF01000039.1_88,GCA_001314655.1,K11532,476.47,509.0,0.0
1042446,207,LJNT01000088.1_18,GCA_001314685.1,K11532,476.47,508.8,0.0
1047245,207,LJSV01000005.1_17,GCA_001314715.1,K11532,476.47,503.7,0.0
1049045,207,LJSY01000023.1_3,GCA_001314805.1,K11532,476.47,506.8,0.0
1064846,207,JPUR01000175.1_6,GCA_001321835.1,K11532,476.47,503.4,0.0
1105059,207,LDXO01000002.1_75,GCA_001443455.1,K11532,476.47,482.9,0.0
1123146,207,LNEC01000011.1_102,GCA_001464035.1,K11532,476.47,520.2,0.0
1137853,207,LNEZ01000089.1_41,GCA_001464215.1,K11532,476.47,526.2,0.0
1139253,207,LNFH01000278.1_2,GCA_001464235.1,K11532,476.47,525.3,0.0
1143938,207,LNFA01000227.1_13,GCA_001464285.1,K11532,476.47,516.5,0.0
1146912,207,LNFK01000075.1_159,GCA_001464315.1,K11532,476.47,504.6,0.0
1148081,207,LNEV01000009.1_339,GCA_001464335.1,K11532,476.47,501.1,0.0
1153425,207,LNEW01000220.1_2,GCA_001464375.1,K11532,476.47,514.7,0.0
1166021,207,LNFC01000018.1_26,GCA_001464545.1,K11532,476.47,493.5,0.0
1171741,207,LNFI01000022.1_42,GCA_001464615.1,K11532,476.47,536.9,0.0
1185482,207,LNDR01000374.1_5,GCA_001464755.1,K11532,476.47,501.5,0.0
1189287,207,LNEB01000003.1_282,GCA_001464795.1,K11532,476.47,480.9,0.0
1192930,207,LNDS01000022.1_42,GCA_001464835.1,K11532,476.47,503.1,0.0
1202535,207,LNED01000038.1_168,GCA_001464915.1,K11532,476.47,514.2,0.0
1205931,207,LNEM01000011.1_55,GCA_001464955.1,K11532,476.47,507.1,0.0
1251700,207,LFER01000060.1_28,GCA_001510135.1,K11532,476.47,503.7,0.0
1353491,207,LSHP01000053.1_3,GCA_001555775.1,K11532,476.47,529.6,0.0
1356155,207,LSIB01000059.1_19,GCA_001556025.1,K11532,476.47,519.5,0.0
1359601,207,LSIG01000072.1_11,GCA_001556125.1,K11532,476.47,520.7,0.0
1360842,207,LSKF01000158.1_2,GCA_001556995.1,K11532,476.47,513.0,0.0
1364609,207,LSKJ01000851.1_4,GCA_001557035.1,K11532,476.47,529.5,0.0
1450917,207,CP012156.1_1481,GCA_001602435.1,K11532,476.47,483.2,0.0
1515907,207,LUOO01000046.1_11,GCA_001626765.1,K11532,476.47,511.1,0.0
1522569,207,LUQC01000034.1_60,GCA_001627925.1,K11532,476.47,488.9,0.0
1536038,207,LGRT01000026.1_110,GCA_001642945.1,K11532,476.47,495.4,0.0
1555074,207,LXYP01000027.1_110,GCA_001650955.1,K11532,476.47,517.4,0.0
1565891,207,LYSZ01000001.1_544,GCA_001657385.1,K11532,476.47,502.0,0.0
1567008,207,LYSY01000001.1_900,GCA_001657395.1,K11532,476.47,517.8,0.0
1635238,207,MEDW01000060.1_13,GCA_001724215.1,K11532,476.47,517.3,0.0
1645041,207,MEEX01000059.1_19,GCA_001724605.1,K11532,476.47,504.8,0.0
1645232,207,MEFG01000008.1_38,GCA_001724715.1,K11532,476.47,528.9,0.0
1653814,207,MEEW01000121.1_4,GCA_001724985.1,K11532,476.47,510.3,0.0
1667813,207,MEGD01000027.1_154,GCA_001725355.1,K11532,476.47,522.2,0.0
1683349,207,MDLF01000085.1_116,GCA_001730095.1,K11532,476.47,504.6,0.0
1724217,207,MEMN01000101.1_5,GCA_001767945.1,K11532,476.47,531.3,0.0
1760978,207,MEPO01000015.1_14,GCA_001769805.1,K11532,476.47,481.4,0.0
1762108,207,MEPR01000030.1_41,GCA_001769835.1,K11532,476.47,495.6,0.0
