annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
104891,207,KB901005.1_5,GCA_000379225.1,K18005,550.37,854.9,0.0
139171,207,AQSL01000130.1_18,GCA_000403035.1,K18005,550.37,654.8,0.0
160398,207,ASPA01000080.1_7,GCA_000405605.1,K18005,550.37,608.8,0.0
364830,207,AWNW01000002.1_47,GCA_000493945.1,K18005,550.37,831.6,0.0
437815,207,JFAX01000001.1_140,GCA_000585015.1,K18005,550.37,895.3,0.0
440545,207,JEMX01000025.1_65,GCA_000585055.1,K18005,550.37,890.4,0.0
444148,207,JEMY01000054.1_12,GCA_000585075.1,K18005,550.37,901.8,0.0
679671,207,AXCX01000043.1_14,GCA_000767215.1,K18005,550.37,582.2,0.0
722956,207,AP014633.1_1503,GCA_000828835.1,K18005,550.37,915.2,0.0
827282,207,LBIU01000437.1_2,GCA_000987445.1,K18005,550.37,892.9,0.0
973249,207,LJTQ01000074.1_8,GCA_001303445.1,K18005,550.37,914.3,0.0
983847,207,LJUP01000136.1_2,GCA_001303955.1,K18005,550.37,808.7,0.0
1011213,207,BAXG01000015.1_58,GCA_001310455.1,K18005,550.37,672.0,0.0
1129496,207,LNDN01000390.1_2,GCA_001464065.1,K18005,550.37,761.7,0.0
1317727,207,LOEU01000021.1_126,GCA_001516025.1,K18005,550.37,625.6,0.0
1386878,207,LSNW01000032.1_181,GCA_001566965.1,K18005,550.37,832.4,0.0
1408951,207,LSCM01000033.1_5,GCA_001577185.1,K18005,550.37,832.8,0.0
1409675,207,LSCC01000005.1_27,GCA_001577215.1,K18005,550.37,786.9,0.0
1539938,207,LUUF01000003.1_58,GCA_001644045.1,K18005,550.37,861.1,0.0
1728112,207,MEMX01000106.1_1,GCA_001768075.1,K18005,550.37,763.5,0.0
1731567,207,MENK01000001.1_195,GCA_001768235.1,K18005,550.37,553.0,0.0
1737319,207,MEOE01000013.1_254,GCA_001768565.1,K18005,550.37,551.5,0.0
1751586,207,MEOL01000028.1_50,GCA_001769215.1,K18005,550.37,778.3,0.0
1753431,207,MEOQ01000040.1_132,GCA_001769275.1,K18005,550.37,789.1,0.0
1756699,207,MEOF01000010.1_21,GCA_001769505.1,K18005,550.37,830.0,0.0
1758748,207,MEOH01000020.1_35,GCA_001769535.1,K18005,550.37,775.6,0.0
1763680,207,MEPP01000013.1_10,GCA_001769855.1,K18005,550.37,718.1,0.0
1792117,207,MESA01000033.1_80,GCA_001770775.1,K18005,550.37,850.2,0.0
1803383,207,MESG01000170.1_39,GCA_001770905.1,K18005,550.37,859.4,0.0
1805577,207,MESI01000108.1_6,GCA_001770935.1,K18005,550.37,925.4,0.0
1806209,207,MESL01000002.1_84,GCA_001770955.1,K18005,550.37,861.6,0.0
1808964,207,MESQ01000022.1_27,GCA_001771065.1,K18005,550.37,911.7,0.0
1851841,207,MEYC01000048.1_19,GCA_001775715.1,K18005,550.37,825.0,0.0
1853448,207,MEYF01000116.1_27,GCA_001775755.1,K18005,550.37,847.0,0.0
1883815,207,MFIX01000153.1_9,GCA_001780825.1,K18005,550.37,807.0,0.0
1900429,207,MFRH01000044.1_30,GCA_001783275.1,K18005,550.37,811.3,0.0
