annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91836391,207,CP000682.1_1384,GCA_000016605.1,K00123,858.47,1009.0,0.0
91838137,207,CP000746.1_1716,GCA_000017245.1,K00123,858.47,987.1,0.0
91840552,207,CP000781.1_3510,GCA_000017645.1,K00123,858.47,1027.3,0.0
91851436,207,CU207211.1_3226,GCA_000026125.1,K00123,858.47,1042.6,0.0
91849585,207,CU207211.1_332,GCA_000026125.1,K00123,858.47,1079.3,0.0
91850215,207,CU207211.1_1322,GCA_000026125.1,K00123,858.47,905.2,0.0
91852151,207,FN543093.2_891,GCA_000027065.2,K00123,858.47,988.8,0.0
91860617,207,FP565575.1_718,GCA_000091165.1,K00123,858.47,946.0,0.0
91860744,207,FP565575.1_963,GCA_000091165.1,K00123,858.47,892.3,0.0
91868969,207,CH672399.1_167,GCA_000153445.1,K00123,858.47,1060.1,0.0
91870983,207,DS022282.1_1092,GCA_000153745.1,K00123,858.47,1006.2,0.0
91885625,207,DS995276.1_3615,GCA_000156115.1,K00123,858.47,939.0,0.0
91884908,207,DS995276.1_2260,GCA_000156115.1,K00123,858.47,1018.3,0.0
91885985,207,DS995299.1_166,GCA_000156155.1,K00123,858.47,1033.3,0.0
91887214,207,DS999235.1_29,GCA_000156295.1,K00123,858.47,1032.3,0.0
91889660,207,DS999531.1_413,GCA_000158135.1,K00123,858.47,1032.7,0.0
91891188,207,DS999531.1_3063,GCA_000158135.1,K00123,858.47,951.2,0.0
91900133,207,AAUX01000001.1_382,GCA_000168995.1,K00123,858.47,1021.8,0.0
91901969,207,AAVT01000002.1_28,GCA_000169075.1,K00123,858.47,1037.0,0.0
91903399,207,AAVV01000008.1_41,GCA_000169115.1,K00123,858.47,1014.3,0.0
91906315,207,AAXZ01000005.1_100,GCA_000169395.1,K00123,858.47,1035.7,0.0
91906059,207,AAXZ01000009.1_57,GCA_000169395.1,K00123,858.47,942.7,0.0
91909354,207,AAZW01000020.1_6,GCA_000169995.1,K00123,858.47,1014.4,0.0
91910137,207,AAZW01000007.1_148,GCA_000169995.1,K00123,858.47,930.4,0.0
91913870,207,ABHC01000008.1_176,GCA_000171835.1,K00123,858.47,958.5,0.0
91914040,207,ABHC01000006.1_13,GCA_000171835.1,K00123,858.47,1048.3,0.0
91920056,207,ABYL01000071.1_3,GCA_000173575.1,K00123,858.47,1088.9,0.0
91924278,207,ADZZ01000218.1_84,GCA_000179315.1,K00123,858.47,972.3,0.0
91929409,207,FP929003.1_1801,GCA_000196815.1,K00123,858.47,969.9,0.0
91938473,207,AFHY01000008.1_22,GCA_000213395.2,K00123,858.47,891.3,0.0
4175,207,CP002988.1_533,GCA_000224475.1,K00123,858.47,862.7,0.0
4359,207,CP002988.1_935,GCA_000224475.1,K00123,858.47,1082.0,0.0
7682,207,AGIF02000001.1_1242,GCA_000227505.4,K00123,858.47,1056.7,0.0
8952,207,AGIG01000028.1_227,GCA_000227525.2,K00123,858.47,942.7,0.0
10267,207,CP003179.1_890,GCA_000237975.1,K00123,858.47,962.7,0.0
10481,207,CP003179.1_1416,GCA_000237975.1,K00123,858.47,973.0,0.0
11873,207,AFXB01000010.1_228,GCA_000238815.2,K00123,858.47,936.6,0.0
13002,207,AFXB01000001.1_44,GCA_000238815.2,K00123,858.47,1019.1,0.0
16007,207,CM001438.1_1488,GCA_000244995.1,K00123,858.47,987.7,0.0
15909,207,CM001438.1_1303,GCA_000244995.1,K00123,858.47,888.2,0.0
18544,207,JH599939.1_3,GCA_000245075.1,K00123,858.47,918.2,0.0
37699,207,AKCV02000025.1_157,GCA_000272025.2,K00123,858.47,1082.4,0.0
38091,207,AKCV02000026.1_324,GCA_000272025.2,K00123,858.47,905.0,0.0
37340,207,AKCV02000020.1_23,GCA_000272025.2,K00123,858.47,1071.7,0.0
46884,207,BAFH01000003.1_492,GCA_000296795.1,K00123,858.47,1013.1,0.0
48036,207,CP003809.1_259,GCA_000299095.1,K00123,858.47,877.0,0.0
49300,207,CP003801.1_980,GCA_000299115.1,K00123,858.47,1058.8,0.0
59813,207,HG326664.1_220,GCA_000308255.3,K00123,858.47,1033.9,0.0
62124,207,AMGN01000060.1_2,GCA_000309865.1,K00123,858.47,986.3,0.0
78327,207,AMXN01000002.1_358,GCA_000332645.1,K00123,858.47,1026.0,0.0
79118,207,AMXN01000004.1_248,GCA_000332645.1,K00123,858.47,1043.9,0.0
89960,207,AOLX01000005.1_64,GCA_000336895.1,K00123,858.47,1071.8,0.0
91996,207,CP004348.1_679,GCA_000342265.1,K00123,858.47,1039.1,0.0
92333,207,CP004348.1_1173,GCA_000342265.1,K00123,858.47,902.1,0.0
