annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
104890,207,KB901005.1_4,GCA_000379225.1,K18006,293.43,388.6,0.0
139170,207,AQSL01000130.1_17,GCA_000403035.1,K18006,293.43,350.9,0.0
364829,207,AWNW01000002.1_46,GCA_000493945.1,K18006,293.43,332.8,0.0
437816,207,JFAX01000001.1_141,GCA_000585015.1,K18006,293.43,396.4,0.0
440544,207,JEMX01000025.1_64,GCA_000585055.1,K18006,293.43,400.2,0.0
444149,207,JEMY01000054.1_13,GCA_000585075.1,K18006,293.43,402.3,0.0
722955,207,AP014633.1_1502,GCA_000828835.1,K18006,293.43,391.1,0.0
827283,207,LBIU01000437.1_3,GCA_000987445.1,K18006,293.43,400.0,0.0
973248,207,LJTQ01000074.1_7,GCA_001303445.1,K18006,293.43,399.7,0.0
997315,207,LJUQ01000204.1_6,GCA_001304505.1,K18006,293.43,298.4,0.0
1011214,207,BAXG01000015.1_59,GCA_001310455.1,K18006,293.43,297.5,0.0
1025833,207,BBCK01000152.1_2,GCA_001312005.1,K18006,293.43,396.8,0.0
1386879,207,LSNW01000032.1_182,GCA_001566965.1,K18006,293.43,377.5,0.0
1539939,207,LUUF01000003.1_59,GCA_001644045.1,K18006,293.43,388.3,0.0
1753432,207,MEOQ01000040.1_133,GCA_001769275.1,K18006,293.43,311.2,0.0
1758749,207,MEOH01000020.1_36,GCA_001769535.1,K18006,293.43,303.6,0.0
1777002,207,MEQV01000046.1_13,GCA_001770355.1,K18006,293.43,382.4,0.0
1792118,207,MESA01000033.1_81,GCA_001770775.1,K18006,293.43,376.4,0.0
1803382,207,MESG01000170.1_38,GCA_001770905.1,K18006,293.43,342.7,0.0
1805576,207,MESI01000108.1_5,GCA_001770935.1,K18006,293.43,385.0,0.0
1806210,207,MESL01000002.1_85,GCA_001770955.1,K18006,293.43,343.9,0.0
1808963,207,MESQ01000022.1_26,GCA_001771065.1,K18006,293.43,375.3,0.0
1853449,207,MEYF01000116.1_28,GCA_001775755.1,K18006,293.43,296.4,0.0
1883814,207,MFIX01000153.1_8,GCA_001780825.1,K18006,293.43,316.2,0.0
1900428,207,MFRH01000044.1_29,GCA_001783275.1,K18006,293.43,294.0,0.0
