annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
57782,207,ALAO01000077.1_5,GCA_000307955.1,K00533,572.43,665.5,0.0
323396,207,FR901162.1_19,GCA_000437635.1,K00533,572.43,577.2,0.0
627150,207,JQDQ01000195.1_7,GCA_000747625.2,K00533,572.43,594.8,0.0
683480,207,JQID01000118.1_27,GCA_000770645.1,K00533,572.43,594.6,0.0
1484859,207,LUZZ01000256.1_5,GCA_001603845.1,K00533,572.43,670.4,0.0
2317060,207,MNUQ01000106.1_13,GCA_001871085.1,K00533,572.43,639.0,0.0
2803127,207,MVQR01000151.1_1,GCA_002067815.1,K00533,572.43,595.4,0.0
2811726,207,MVRV01000138.1_61,GCA_002068015.1,K00533,572.43,592.7,0.0
3484472,207,DBDO01000092.1_5,GCA_002293605.1,K00533,572.43,648.3,0.0
3969013,207,DCUQ01000009.1_103,GCA_002327865.1,K00533,572.43,601.0,0.0
4021087,207,DCTK01000117.1_12,GCA_002329575.1,K00533,572.43,575.2,0.0
4163709,207,DDKK01000031.1_87,GCA_002339325.1,K00533,572.43,615.1,0.0
4350176,207,DDWS01000046.1_124,GCA_002347685.1,K00533,572.43,590.4,0.0
4840025,207,DFZK01000015.1_229,GCA_002382085.1,K00533,572.43,594.6,0.0
4848060,207,DFYP01000065.1_3,GCA_002382645.1,K00533,572.43,654.6,0.0
5108154,207,DHCD01000114.1_27,GCA_002398105.1,K00533,572.43,603.4,0.0
5116198,207,DHBS01000008.1_10,GCA_002398825.1,K00533,572.43,601.9,0.0
5310874,207,DHPI01000077.1_5,GCA_002407865.1,K00533,572.43,625.8,0.0
5363151,207,DHRK01000007.1_159,GCA_002410325.1,K00533,572.43,602.5,0.0
5506596,207,DIEX01000031.1_278,GCA_002418835.1,K00533,572.43,621.9,0.0
5604281,207,DIVX01000048.1_16,GCA_002422505.1,K00533,572.43,643.2,0.0
5673940,207,DIRQ01000120.1_7,GCA_002424365.1,K00533,572.43,605.5,0.0
5935751,207,DIWT01000028.1_8,GCA_002435745.1,K00533,572.43,618.5,0.0
6047500,207,DJVQ01000060.1_52,GCA_002441265.1,K00533,572.43,598.1,0.0
6070912,207,DJYL01000229.1_9,GCA_002448495.1,K00533,572.43,618.1,0.0
6161896,207,DKEU01000212.1_20,GCA_002452635.1,K00533,572.43,652.7,0.0
6419047,207,DLGG01000032.1_9,GCA_002482565.1,K00533,572.43,667.1,0.0
8260607,207,PHAA01000005.1_22,GCA_002840245.1,K00533,572.43,604.4,0.0
8279179,207,PHBN01000014.1_7,GCA_002840635.1,K00533,572.43,587.3,0.0
8344245,207,PHBD01000004.1_16,GCA_002841865.1,K00533,572.43,600.9,0.0
8540026,207,PNIO01000057.1_32,GCA_002878055.1,K00533,572.43,601.2,0.0
10667943,207,QKEJ01000024.1_12,GCA_003252375.1,K00533,572.43,667.9,0.0
12974197,207,DNYQ01000248.1_11,GCA_003506745.1,K00533,572.43,573.3,0.0
12830297,207,DQED01000208.1_4,GCA_003525525.1,K00533,572.43,653.8,0.0
13752449,207,BIFV01000008.1_200,GCA_003990955.1,K00533,572.43,586.2,0.0
14033187,207,VCNC01000005.1_94,GCA_006210265.1,K00533,572.43,691.1,0.0
15618034,207,WASP01000006.1_653,GCA_009712225.1,K00533,572.43,641.6,0.0
16673417,207,SAAX01000061.1_9,GCA_009929215.1,K00533,572.43,643.4,0.0
16680938,207,SAAJ01000035.1_8,GCA_009929485.1,K00533,572.43,596.9,0.0
16693694,207,RZZR01000093.1_8,GCA_009929795.1,K00533,572.43,649.6,0.0
16709860,207,RZYK01000021.1_13,GCA_009930355.1,K00533,572.43,594.8,0.0
17229623,207,DSDU01000228.1_1,GCA_011056835.1,K00533,572.43,599.9,0.0
18527470,207,JAAZHX010000308.1_24,GCA_012510495.1,K00533,572.43,595.6,0.0
18683890,207,JAAYVF010000094.1_9,GCA_012517325.1,K00533,572.43,618.6,0.0
18801931,207,JAAYQE010000116.1_14,GCA_012519455.1,K00533,572.43,604.9,0.0
18815025,207,JAAYPR010000041.1_18,GCA_012519705.1,K00533,572.43,605.7,0.0
92241972,207,JAAYBS010000119.1_4,GCA_012718855.1,K00533,572.43,605.9,0.0
92276020,207,JAAYAC010000034.1_11,GCA_012719535.1,K00533,572.43,624.6,0.0
92118676,207,JAAYDW010000094.1_10,GCA_012729055.1,K00533,572.43,579.7,0.0
19108259,207,DUMX01000124.1_4,GCA_012839665.1,K00533,572.43,605.4,0.0
19146816,207,DUSB01000110.1_3,GCA_012840625.1,K00533,572.43,620.3,0.0
22900343,207,JABLXX010000006.1_24,GCA_013177825.1,K00533,572.43,602.9,0.0
22924189,207,JABLWZ010000003.1_87,GCA_013178275.1,K00533,572.43,597.9,0.0
22960548,207,JABMRH010000032.1_11,GCA_013202725.1,K00533,572.43,663.3,0.0
24285948,207,JABXKT010000009.1_30,GCA_013619155.1,K00533,572.43,628.6,0.0
24285946,207,JABXKT010000009.1_28,GCA_013619155.1,K00533,572.43,662.1,0.0
24451169,207,JACIYB010000013.1_13,GCA_014360155.1,K00533,572.43,615.4,0.0
23768986,207,SVBZ01000058.1_8,GCA_015058575.1,K00533,572.43,615.2,0.0
25909772,207,JADMLB010000039.1_45,GCA_015482765.1,K00533,572.43,664.4,0.0
26223500,207,JACCQO010000004.1_46,GCA_015709205.1,K00533,572.43,660.0,0.0
26227405,207,JACCQI010000006.1_81,GCA_015709315.1,K00533,572.43,681.5,0.0
21633690,207,JACRDI010000009.1_19,GCA_016218665.1,K00533,572.43,640.5,0.0
21318505,207,JAEINO010000036.1_33,GCA_016342345.1,K00533,572.43,680.8,0.0
20262530,207,JADGEX010000002.1_293,GCA_016744135.1,K00533,572.43,681.1,0.0
27006538,207,JAENZN010000003.1_188,GCA_016841245.1,K00533,572.43,602.0,0.0
27017097,207,JAENZE010000007.1_26,GCA_016841425.1,K00533,572.43,599.4,0.0
27043728,207,JAENYG010000002.1_131,GCA_016841875.1,K00533,572.43,602.6,0.0
27938291,207,JAFGFE010000024.1_17,GCA_016931225.1,K00533,572.43,579.4,0.0
28032691,207,JAFGBU010000005.1_64,GCA_016932995.1,K00533,572.43,652.5,0.0
28151087,207,JAFGRE010000152.1_8,GCA_016935335.1,K00533,572.43,640.4,0.0
28780331,207,JAFNZB010000077.1_23,GCA_017383055.1,K00533,572.43,582.5,0.0
28401743,207,JAFQTU010000075.1_81,GCA_017408905.1,K00533,572.43,633.0,0.0
29653146,207,JAFSVD010000059.1_16,GCA_017450275.1,K00533,572.43,634.5,0.0
29735792,207,JAFTDR010000011.1_4,GCA_017454105.1,K00533,572.43,633.3,0.0
29773750,207,JAFSZE010000139.1_1,GCA_017455745.1,K00533,572.43,634.4,0.0
30750396,207,JAFWYI010000042.1_2,GCA_017522745.1,K00533,572.43,640.8,0.0
30825271,207,JAFXOX010000010.1_45,GCA_017528345.1,K00533,572.43,643.3,0.0
31482493,207,JAGADH010000172.1_1,GCA_017613715.1,K00533,572.43,591.0,0.0
31482573,207,JAGADH010000180.1_22,GCA_017613715.1,K00533,572.43,644.4,0.0
32003324,207,JAGCMT010000062.1_57,GCA_017646335.1,K00533,572.43,581.9,0.0
32085467,207,JACDOH010000012.1_17,GCA_017656155.1,K00533,572.43,614.9,0.0
93774236,207,JAGFZX010000009.1_30,GCA_017889585.1,K00533,572.43,585.3,0.0
93772480,207,JAGFZX010000012.1_3,GCA_017889585.1,K00533,572.43,596.4,0.0
93775649,207,JAGGAD010000001.1_64,GCA_017889625.1,K00533,572.43,581.7,0.0
93777658,207,JAGGAC010000020.1_13,GCA_017889635.1,K00533,572.43,590.9,0.0
34383261,207,JAGOMJ010000077.1_6,GCA_017993615.1,K00533,572.43,589.9,0.0
32888550,207,JAHDSC010000189.1_6,GCA_018432925.1,K00533,572.43,644.3,0.0
32930294,207,JAHDOI010000057.1_50,GCA_018434945.1,K00533,572.43,598.3,0.0
34986643,207,JAGUQP010000025.1_36,GCA_018704065.1,K00533,572.43,685.6,0.0
35090857,207,DVNR01000053.1_121,GCA_018714205.1,K00533,572.43,573.7,0.0
35105819,207,DVMY01000085.1_54,GCA_018714755.1,K00533,572.43,579.8,0.0
35357931,207,JAHIUW010000032.1_62,GCA_018816865.1,K00533,572.43,678.4,0.0
36143875,207,JAGVUJ010000153.1_20,GCA_019136325.1,K00533,572.43,593.8,0.0
36589543,207,ONPA01000157.1_3,GCA_900319575.1,K00533,572.43,636.8,0.0
34579370,207,UQTE01000001.1_7,GCA_900543805.1,K00533,572.43,582.4,0.0
34399037,207,UQUR01000003.1_78,GCA_900544345.1,K00533,572.43,578.2,0.0
34468470,207,UQYG01000012.1_49,GCA_900545275.1,K00533,572.43,584.0,0.0
34472800,207,UQYP01000001.1_97,GCA_900545335.1,K00533,572.43,577.1,0.0
33963299,207,URFF01000025.1_5,GCA_900546995.1,K00533,572.43,574.8,0.0
37447760,207,USBZ01000051.1_2,GCA_900553065.1,K00533,572.43,637.5,0.0
37449369,207,USCE01000076.1_5,GCA_900553105.1,K00533,572.43,575.2,0.0
37452640,207,USCL01000044.1_11,GCA_900553145.1,K00533,572.43,647.1,0.0
37767917,207,CAAECY010000049.1_87,GCA_900754475.1,K00533,572.43,579.1,0.0
38130539,207,CAAGHH010000020.1_35,GCA_900769615.1,K00533,572.43,623.6,0.0
38159763,207,CAAGJV010000450.1_4,GCA_900770205.1,K00533,572.43,632.4,0.0
38170103,207,CAAGKD010000125.1_7,GCA_900770335.1,K00533,572.43,578.3,0.0
38386669,207,CABMQD010000002.1_111,GCA_902388655.1,K00533,572.43,578.7,0.0
40585922,207,CADBNG010000189.1_1,GCA_902795985.1,K00533,572.43,721.8,0.0
40728399,207,CADBYQ010000017.1_9,GCA_902798865.1,K00533,572.43,613.5,0.0
44008116,207,CAJJMF010000255.1_1,GCA_905192805.1,K00533,572.43,576.5,0.0
44043529,207,CAJKCQ010000003.1_41,GCA_905198475.1,K00533,572.43,583.6,0.0
44066614,207,CAJKMT010000001.1_34,GCA_905201055.1,K00533,572.43,575.9,0.0
44083741,207,CAJKSP010000001.1_4,GCA_905202595.1,K00533,572.43,577.1,0.0
44110062,207,CAJLHF010000002.1_91,GCA_905206365.1,K00533,572.43,580.2,0.0
44159986,207,CAJMEC010000018.1_10,GCA_905212345.1,K00533,572.43,578.3,0.0
44171243,207,CAJMKD010000001.1_204,GCA_905213905.1,K00533,572.43,581.4,0.0
