annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91851442,207,CU207211.1_3235,GCA_000026125.1,K00122,251.83,600.4,0.0
91858013,207,CU458896.1_997,GCA_000069185.1,K00122,251.83,587.3,0.0
24772,207,JH611157.1_411,GCA_000252525.1,K00122,251.83,583.7,0.0
42356,207,AJXN01000002.1_31,GCA_000286355.1,K00122,251.83,558.7,0.0
102716,207,KB899087.1_4167,GCA_000378025.1,K00122,251.83,607.9,0.0
129693,207,ARRA01000003.1_149,GCA_000384935.1,K00122,251.83,571.2,0.0
130640,207,ARRL01000003.1_253,GCA_000385055.1,K00122,251.83,574.6,0.0
133914,207,ARWO01000027.1_33,GCA_000402075.1,K00122,251.83,579.0,0.0
182081,207,ATWD01000001.1_1927,GCA_000421065.1,K00122,251.83,441.3,0.0
183513,207,ATWD01000003.1_125,GCA_000421065.1,K00122,251.83,548.8,0.0
181980,207,ATWD01000001.1_1567,GCA_000421065.1,K00122,251.83,588.8,0.0
428038,207,JAFS01000001.1_1211,GCA_000526255.1,K00122,251.83,606.9,0.0
445392,207,JFIM01000033.1_19,GCA_000586315.1,K00122,251.83,598.0,0.0
493353,207,JFHF01000044.1_33,GCA_000648925.1,K00122,251.83,626.2,0.0
567426,207,JOAA01000021.1_103,GCA_000720375.1,K00122,251.83,594.0,0.0
579191,207,JOEL01000002.1_292,GCA_000720995.1,K00122,251.83,581.9,0.0
749777,207,LM997411.1_1141,GCA_000953475.1,K00122,251.83,612.9,0.0
906041,207,CVSM01000118.1_2,GCA_001180065.1,K00122,251.83,510.8,0.0
959021,207,LJCV01000263.1_81,GCA_001298575.1,K00122,251.83,588.2,0.0
1098067,207,LDYB01000023.1_122,GCA_001442985.1,K00122,251.83,319.5,0.0
1101531,207,LDXM01000024.1_41,GCA_001443375.1,K00122,251.83,617.8,0.0
1129678,207,LNES01000003.1_156,GCA_001464115.1,K00122,251.83,606.5,0.0
1148795,207,LNEV01000017.1_104,GCA_001464335.1,K00122,251.83,607.0,0.0
1150885,207,LNEU01000033.1_202,GCA_001464355.1,K00122,251.83,305.5,0.0
1258232,207,LPWA01000111.1_31,GCA_001510895.1,K00122,251.83,436.6,0.0
1337105,207,FCOH02000024.1_58,GCA_001544595.2,K00122,251.83,608.3,0.0
1524086,207,LUQU01000068.1_1,GCA_001628005.1,K00122,251.83,564.2,0.0
1605176,207,LHBX01000025.1_9,GCA_001704065.1,K00122,251.83,589.2,0.0
1720138,207,MEMA01000055.1_27,GCA_001767835.1,K00122,251.83,611.2,0.0
2120896,207,MGYG01000064.1_1,GCA_001801635.1,K00122,251.83,487.6,0.0
2121934,207,MGYH01000050.1_7,GCA_001801665.1,K00122,251.83,570.5,0.0
2130474,207,MGYU01000108.1_39,GCA_001801885.1,K00122,251.83,612.5,0.0
2469096,207,MKTN01000010.1_7,GCA_001898235.1,K00122,251.83,606.0,0.0
2556649,207,MKVQ01000042.1_133,GCA_001899635.1,K00122,251.83,568.0,0.0
2665274,207,MKJX01000033.1_73,GCA_001942415.1,K00122,251.83,260.8,0.0
2688655,207,MUGK01000079.1_7,GCA_002007425.1,K00122,251.83,614.4,0.0
3058781,207,NHDJ01000069.1_15,GCA_002167265.1,K00122,251.83,575.1,0.0
3066208,207,NHCT01000017.1_56,GCA_002167605.1,K00122,251.83,569.8,0.0
3075139,207,NHCX01000052.1_8,GCA_002168015.1,K00122,251.83,567.7,0.0
3076514,207,NHCE01000010.1_91,GCA_002168075.1,K00122,251.83,581.5,0.0
3088365,207,NHKK02000022.1_9,GCA_002169475.2,K00122,251.83,439.9,0.0
3088633,207,NHJW02000004.1_2,GCA_002169625.2,K00122,251.83,553.5,0.0
3118189,207,NHDN01000031.1_14,GCA_002171765.1,K00122,251.83,579.9,0.0
3162339,207,MPMJ01000033.1_3,GCA_002238425.1,K00122,251.83,596.5,0.0
3231152,207,NKPV01000136.1_3,GCA_002254605.1,K00122,251.83,306.6,0.0
3341992,207,NCCY01000075.1_7,GCA_002279855.1,K00122,251.83,604.8,0.0
3416815,207,CP021238.1_533,GCA_002291465.1,K00122,251.83,493.3,0.0
3567950,207,DBNZ01000117.1_5,GCA_002299495.1,K00122,251.83,592.2,0.0
3756081,207,DCAE01000109.1_62,GCA_002311385.1,K00122,251.83,515.6,0.0
4362609,207,DDYN01000001.1_13,GCA_002347965.1,K00122,251.83,558.0,0.0
4814125,207,DFWO01000077.1_3,GCA_002380945.1,K00122,251.83,592.8,0.0
4856079,207,DFXC01000144.1_11,GCA_002383105.1,K00122,251.83,616.9,0.0
5253431,207,DHHZ01000123.1_4,GCA_002403515.1,K00122,251.83,592.6,0.0
5482733,207,DIDF01000079.1_38,GCA_002418005.1,K00122,251.83,566.5,0.0
5816786,207,DIZC01000075.1_31,GCA_002429315.1,K00122,251.83,618.8,0.0
5821037,207,DIZU01000209.1_11,GCA_002429455.1,K00122,251.83,627.1,0.0
6187778,207,DKIG01000011.1_98,GCA_002454165.1,K00122,251.83,583.0,0.0
6420762,207,DLGJ01000005.1_207,GCA_002482645.1,K00122,251.83,623.8,0.0
6421430,207,DLGJ01000002.1_149,GCA_002482645.1,K00122,251.83,622.9,0.0
6625513,207,DAOM01000320.1_5,GCA_002501855.1,K00122,251.83,561.3,0.0
6742394,207,NYTE01000035.1_3,GCA_002683335.1,K00122,251.83,553.9,0.0
6768425,207,NYVP01000145.1_7,GCA_002684575.1,K00122,251.83,542.5,0.0
6783497,207,NYWX01000042.1_3,GCA_002685275.1,K00122,251.83,558.4,0.0
6813019,207,NYYP01000006.1_21,GCA_002686835.1,K00122,251.83,572.1,0.0
6878548,207,NZFS01000009.1_4,GCA_002690725.1,K00122,251.83,571.5,0.0
6890019,207,NZGX01000053.1_12,GCA_002691085.1,K00122,251.83,601.9,0.0
6909327,207,NZIY01000055.1_34,GCA_002691795.1,K00122,251.83,569.1,0.0
6916942,207,NZJU01000002.1_10,GCA_002692325.1,K00122,251.83,587.4,0.0
6918095,207,NZKC01000020.1_17,GCA_002692475.1,K00122,251.83,557.0,0.0
6932180,207,NZKY01000045.1_25,GCA_002694035.1,K00122,251.83,561.3,0.0
7026373,207,PABI01000025.1_1,GCA_002699125.1,K00122,251.83,593.3,0.0
7031609,207,PABO01000015.1_132,GCA_002699165.1,K00122,251.83,555.5,0.0
7045793,207,PAAM01000016.1_71,GCA_002699615.1,K00122,251.83,582.2,0.0
7133246,207,PAGZ01000027.1_1,GCA_002704625.1,K00122,251.83,374.7,0.0
7135178,207,PAHC01000011.1_46,GCA_002704755.1,K00122,251.83,586.8,0.0
7218248,207,PAOV01000015.1_24,GCA_002708145.1,K00122,251.83,554.0,0.0
7259088,207,PAQS01000023.1_15,GCA_002709385.1,K00122,251.83,579.4,0.0
7305508,207,PARR01000003.1_3,GCA_002711625.1,K00122,251.83,573.4,0.0
7316959,207,PARU01000020.1_11,GCA_002712065.1,K00122,251.83,610.9,0.0
7339394,207,PAVW01000016.1_9,GCA_002713205.1,K00122,251.83,440.9,0.0
7364484,207,PAXI01000007.1_5,GCA_002714425.1,K00122,251.83,554.7,0.0
7386910,207,PAZO01000002.1_45,GCA_002715665.1,K00122,251.83,557.3,0.0
7388272,207,PBAE01000002.1_66,GCA_002715745.1,K00122,251.83,578.3,0.0
7388657,207,PBAE01000020.1_15,GCA_002715745.1,K00122,251.83,575.7,0.0
7440118,207,PBDP01000007.1_10,GCA_002718095.1,K00122,251.83,590.7,0.0
7446271,207,PBEI01000012.1_47,GCA_002718375.1,K00122,251.83,574.4,0.0
7459627,207,PBHA01000004.1_15,GCA_002719425.1,K00122,251.83,565.1,0.0
7463347,207,PBID01000005.1_97,GCA_002719675.1,K00122,251.83,585.0,0.0
7472512,207,PBHH01000013.1_38,GCA_002720195.1,K00122,251.83,572.2,0.0
7502468,207,PBKI01000006.1_1,GCA_002721385.1,K00122,251.83,567.9,0.0
7503684,207,PBKO01000010.1_5,GCA_002721465.1,K00122,251.83,567.0,0.0
7516587,207,PBLU01000012.1_166,GCA_002721875.1,K00122,251.83,552.6,0.0
7519009,207,PBMF01000019.1_63,GCA_002721995.1,K00122,251.83,525.9,0.0
7534475,207,PBLX01000022.1_57,GCA_002722435.1,K00122,251.83,587.0,0.0
7534993,207,PBMB01000007.1_42,GCA_002722455.1,K00122,251.83,600.2,0.0
7683058,207,PBTW01000005.1_10,GCA_002729315.1,K00122,251.83,504.0,0.0
7738067,207,PCCF01000002.1_22,GCA_002731945.1,K00122,251.83,587.7,0.0
7778194,207,NVVW01000004.1_14,GCA_002733505.1,K00122,251.83,590.1,0.0
8008208,207,PEZA01000068.1_80,GCA_002778835.1,K00122,251.83,592.4,0.0
8176140,207,PHUJ01000003.1_972,GCA_002813375.1,K00122,251.83,472.4,0.0
8424431,207,PHSQ01000002.1_198,GCA_002862095.1,K00122,251.83,617.0,0.0
8456161,207,PKDH01000035.1_13,GCA_002863045.1,K00122,251.83,536.4,0.0
8463311,207,PKEK01000063.1_14,GCA_002863225.1,K00122,251.83,585.1,0.0
8549066,207,PEFW01000040.1_2,GCA_002890675.1,K00122,251.83,611.7,0.0
8593528,207,BEHR01000010.1_37,GCA_002898555.1,K00122,251.83,310.7,0.0
8619847,207,PPRD01000073.1_2,GCA_002902575.1,K00122,251.83,473.0,0.0
8644770,207,PERL01000016.1_15,GCA_002928735.1,K00122,251.83,608.8,0.0
8709712,207,PVRV01000020.1_310,GCA_003012345.1,K00122,251.83,547.5,0.0
8860245,207,PQAN01000383.1_3,GCA_003105285.1,K00122,251.83,576.7,0.0
8867737,207,QFDA01000078.1_1,GCA_003130815.1,K00122,251.83,318.0,0.0
8889726,207,PKWD01000390.1_4,GCA_003131945.1,K00122,251.83,605.5,0.0
8891684,207,PKWJ01000056.1_88,GCA_003132025.1,K00122,251.83,604.8,0.0
8918268,207,PKYM01000338.1_2,GCA_003132645.1,K00122,251.83,604.1,0.0
8966655,207,PLAI01000168.1_3,GCA_003134075.1,K00122,251.83,599.1,0.0
9006688,207,PLBV01000029.1_4,GCA_003135455.1,K00122,251.83,621.6,0.0
9007259,207,PLBV01000001.1_2,GCA_003135455.1,K00122,251.83,612.8,0.0
9131708,207,PLLF01000078.1_7,GCA_003140855.1,K00122,251.83,604.3,0.0
9247567,207,PLWZ01000075.1_23,GCA_003151235.1,K00122,251.83,617.2,0.0
9264326,207,PLXQ01000069.1_145,GCA_003151475.1,K00122,251.83,610.9,0.0
9296786,207,PLZB01000037.1_28,GCA_003151955.1,K00122,251.83,603.2,0.0
9317192,207,PLZT01000251.1_11,GCA_003152255.1,K00122,251.83,609.7,0.0
9318019,207,PLZT01000058.1_2,GCA_003152255.1,K00122,251.83,612.9,0.0
9444363,207,PMDM01000239.1_9,GCA_003155565.1,K00122,251.83,485.9,0.0
9445027,207,PMDM01000098.1_3,GCA_003155565.1,K00122,251.83,604.2,0.0
9455759,207,PMHH01000179.1_6,GCA_003156595.1,K00122,251.83,583.5,0.0
9493392,207,PMFY01000349.1_16,GCA_003157945.1,K00122,251.83,603.7,0.0
9496230,207,PMHJ01000007.1_88,GCA_003158175.1,K00122,251.83,606.7,0.0
9539118,207,PMLV01000065.1_44,GCA_003160635.1,K00122,251.83,578.3,0.0
9546993,207,PMOQ01000106.1_44,GCA_003161255.1,K00122,251.83,607.7,0.0
9555696,207,PMOE01000069.1_29,GCA_003161575.1,K00122,251.83,604.0,0.0
3086270,207,PLUZ01000261.1_20,GCA_003162995.1,K00122,251.83,446.3,0.0
9695075,207,PLSY01000253.1_37,GCA_003164275.1,K00122,251.83,610.0,0.0
9722730,207,PLUH01000439.1_9,GCA_003164825.1,K00122,251.83,618.9,0.0
9793101,207,PMUK01000205.1_3,GCA_003166915.1,K00122,251.83,604.4,0.0
9839481,207,PNAT01000203.1_4,GCA_003169675.1,K00122,251.83,607.3,0.0
9956345,207,QHBN01000240.1_24,GCA_003176995.1,K00122,251.83,503.6,0.0
9982496,207,QCOH01000010.1_27,GCA_003209895.1,K00122,251.83,583.4,0.0
9982732,207,QCOF01000001.1_196,GCA_003209915.1,K00122,251.83,582.9,0.0
9985344,207,QCNW01000006.1_75,GCA_003210025.1,K00122,251.83,588.0,0.0
9987807,207,QCNP01000001.1_752,GCA_003210095.1,K00122,251.83,588.1,0.0
10008042,207,QCSH01000006.1_17,GCA_003211555.1,K00122,251.83,587.1,0.0
10010475,207,QCRN01000003.1_92,GCA_003211835.1,K00122,251.83,581.0,0.0
10015737,207,QCQE01000028.1_6,GCA_003212275.1,K00122,251.83,421.5,0.0
9877828,207,QCOL01000010.1_25,GCA_003212925.1,K00122,251.83,587.2,0.0
9878513,207,QCOG01000003.1_105,GCA_003213015.1,K00122,251.83,588.4,0.0
9879969,207,QCNU01000003.1_29,GCA_003213115.1,K00122,251.83,584.5,0.0
9880251,207,QCNT01000001.1_244,GCA_003213135.1,K00122,251.83,582.4,0.0
9881398,207,QCNQ01000019.1_11,GCA_003213155.1,K00122,251.83,588.6,0.0
9886782,207,QCMW01000001.1_310,GCA_003213495.1,K00122,251.83,577.3,0.0
9888025,207,QCMV01000016.1_3,GCA_003213515.1,K00122,251.83,571.3,0.0
9891719,207,QCMN01000010.1_1,GCA_003213715.1,K00122,251.83,564.9,0.0
9906598,207,QCKW01000001.1_82,GCA_003215055.1,K00122,251.83,589.0,0.0
10268773,207,QEVV01000004.1_223,GCA_003228115.1,K00122,251.83,527.3,0.0
10271588,207,QGNO01000020.1_26,GCA_003228195.2,K00122,251.83,602.1,0.0
10314860,207,QIHI01000122.1_42,GCA_003230915.1,K00122,251.83,626.8,0.0
10399685,207,QFQD01000012.1_4,GCA_003241485.1,K00122,251.83,610.3,0.0
10405580,207,QFPN01000002.1_367,GCA_003241695.1,K00122,251.83,615.5,0.0
10407972,207,QFPW01000003.1_200,GCA_003241785.1,K00122,251.83,605.7,0.0
10441461,207,QGUO01000005.1_16,GCA_003242495.1,K00122,251.83,624.9,0.0
10503913,207,QHBY01000304.1_4,GCA_003244245.1,K00122,251.83,589.7,0.0
10724238,207,QCGX01000012.1_5,GCA_003278125.1,K00122,251.83,580.4,0.0
3423004,207,QCEU01000003.1_75,GCA_003280485.1,K00122,251.83,587.9,0.0
10784263,207,QCDD01000004.1_46,GCA_003281045.1,K00122,251.83,588.7,0.0
10803013,207,QCBC01000015.1_5,GCA_003281725.1,K00122,251.83,583.8,0.0
10804006,207,QCAD01000027.1_11,GCA_003282055.1,K00122,251.83,585.6,0.0
10806024,207,QBZY01000002.1_16,GCA_003282155.1,K00122,251.83,571.4,0.0
10807067,207,QBZX01000004.1_9,GCA_003282175.1,K00122,251.83,578.3,0.0
10807672,207,QBZW01000002.1_26,GCA_003282205.1,K00122,251.83,587.5,0.0
10810927,207,QBZD01000002.1_163,GCA_003282485.1,K00122,251.83,582.8,0.0
10811458,207,QBYM01000001.1_10,GCA_003282825.1,K00122,251.83,586.4,0.0
10815236,207,QBYI01000044.1_1,GCA_003282895.1,K00122,251.83,378.7,0.0
10815525,207,QBYG01000004.1_21,GCA_003282945.1,K00122,251.83,586.5,0.0
10816343,207,QBYF01000004.1_47,GCA_003282965.1,K00122,251.83,579.1,0.0
10816971,207,QBYD01000007.1_49,GCA_003282975.1,K00122,251.83,575.5,0.0
10817750,207,QBYE01000007.1_34,GCA_003282985.1,K00122,251.83,587.3,0.0
10821733,207,QBXD01000008.1_2,GCA_003283875.1,K00122,251.83,573.7,0.0
10823961,207,QBVW01000006.1_13,GCA_003284215.1,K00122,251.83,560.9,0.0
10828276,207,QBXO01000019.1_33,GCA_003284565.1,K00122,251.83,578.1,0.0
11043286,207,QOPB01000002.1_127,GCA_003331505.1,K00122,251.83,570.3,0.0
11043923,207,QOPC01000025.1_7,GCA_003331545.1,K00122,251.83,560.3,0.0
11400006,207,QDFX01000015.1_49,GCA_003347645.1,K00122,251.83,607.7,0.0
12778189,207,DNXT01000321.1_7,GCA_003505795.1,K00122,251.83,589.6,0.0
12977886,207,DNXO01000064.1_8,GCA_003506895.1,K00122,251.83,616.0,0.0
12275004,207,QORW01000029.1_15,GCA_003574735.1,K00122,251.83,614.6,0.0
13601739,207,RDRZ01000043.1_8,GCA_003709165.1,K00122,251.83,578.5,0.0
13719533,207,RJMB01000038.1_29,GCA_003725585.1,K00122,251.83,610.3,0.0
13722677,207,RHDP01000001.1_6326,GCA_003725745.1,K00122,251.83,277.6,0.0
13987214,207,RXIY01000032.1_70,GCA_003963405.1,K00122,251.83,583.0,0.0
13733206,207,RXJH01000001.1_157,GCA_003987725.1,K00122,251.83,608.8,0.0
13742402,207,RXIZ01000003.1_64,GCA_003987855.1,K00122,251.83,604.6,0.0
13780134,207,SAQG01000013.1_79,GCA_004020315.1,K00122,251.83,611.1,0.0
13792680,207,SAQL01000045.1_12,GCA_004020645.1,K00122,251.83,614.5,0.0
13823953,207,SCKP01000004.1_16,GCA_004124405.1,K00122,251.83,578.1,0.0
13648665,207,SHBF01000038.1_6,GCA_004212975.1,K00122,251.83,576.9,0.0
13677884,207,RXNW01000007.1_156,GCA_004283175.1,K00122,251.83,602.9,0.0
13356876,207,SCRH01000030.1_236,GCA_004298145.1,K00122,251.83,596.8,0.0
13180669,207,SCTP01000016.1_12,GCA_004322325.1,K00122,251.83,603.5,0.0
13221784,207,SMSD01000013.1_62,GCA_004354905.1,K00122,251.83,573.8,0.0
13228705,207,SMXR01000102.1_4,GCA_004356215.1,K00122,251.83,600.3,0.0
13229508,207,SMXK01000023.1_5,GCA_004356265.1,K00122,251.83,611.4,0.0
13243430,207,SMWK01000260.1_1,GCA_004356895.1,K00122,251.83,408.6,0.0
13249702,207,SMWF01000114.1_33,GCA_004357385.1,K00122,251.83,623.8,0.0
11582922,207,CP024846.1_1695,GCA_004564215.1,K00122,251.83,634.9,0.0
11635990,207,CP039459.1_972,GCA_004843165.1,K00122,251.83,501.6,0.0
11636880,207,CP039460.1_983,GCA_004843345.1,K00122,251.83,507.7,0.0
11639153,207,SUHQ01000002.1_39,GCA_004962245.1,K00122,251.83,611.9,0.0
11641861,207,SUEO01000187.1_5,GCA_004962925.1,K00122,251.83,612.4,0.0
11391057,207,SYKG01000029.1_3,GCA_005797835.1,K00122,251.83,612.4,0.0
11212307,207,SYEK01000003.1_31,GCA_005800815.1,K00122,251.83,608.4,0.0
11078964,207,VBJV01000078.1_5,GCA_005879785.1,K00122,251.83,601.8,0.0
11089009,207,VBJS01000263.1_3,GCA_005880055.1,K00122,251.83,324.5,0.0
10922592,207,VAXG01000048.1_14,GCA_005883355.1,K00122,251.83,620.6,0.0
10939337,207,VBAQ01000229.1_6,GCA_005883765.1,K00122,251.83,630.4,0.0
10949881,207,VAXW01000004.1_149,GCA_005884115.1,K00122,251.83,626.2,0.0
10985991,207,VAYK01000124.1_3,GCA_005884985.1,K00122,251.83,607.2,0.0
10993418,207,VAXU01000161.1_25,GCA_005885125.1,K00122,251.83,609.6,0.0
11001949,207,VAWK01000040.1_33,GCA_005885515.1,K00122,251.83,612.2,0.0
10888697,207,VBOR01000094.1_17,GCA_005893165.1,K00122,251.83,617.8,0.0
10892208,207,VBOX01000101.1_5,GCA_005893265.1,K00122,251.83,614.7,0.0
10893565,207,VBOW01000028.1_8,GCA_005893275.1,K00122,251.83,622.1,0.0
10895618,207,VBOZ01000036.1_47,GCA_005893305.1,K00122,251.83,618.7,0.0
14104549,207,VDMG01000219.1_2,GCA_006514895.1,K00122,251.83,619.9,0.0
14240213,207,SKQJ01000310.1_5,GCA_007119075.1,K00122,251.83,615.7,0.0
14356575,207,SLGN01000189.1_7,GCA_007123695.1,K00122,251.83,455.6,0.0
14362337,207,SLGC01000019.1_1,GCA_007123885.1,K00122,251.83,539.8,0.0
14525483,207,SLSG01000114.1_2,GCA_007130545.1,K00122,251.83,602.0,0.0
14548853,207,SLQX01000018.1_10,GCA_007131245.1,K00122,251.83,586.6,0.0
14596430,207,SLNU01000104.1_3,GCA_007132865.1,K00122,251.83,601.1,0.0
15089691,207,VYIK01000036.1_36,GCA_008709575.1,K00122,251.83,583.9,0.0
15135541,207,WBUE01000001.1_52,GCA_009026145.1,K00122,251.83,628.2,0.0
15172375,207,WHTY01000063.1_2,GCA_009377475.1,K00122,251.83,574.5,0.0
