annotation_id,gtdb_version,gene_id,genome_id,pfam,start,stop,length,e_value,interpro_accession,interpro_description
167947070,207,CT971583.1_681,GCA_000063505.1,PF12288,626,729,779,1.5e-05,IPR020990,Carboxysome assembly protein
167947069,207,CT971583.1_681,GCA_000063505.1,PF12288,174,598,779,0.0,IPR020990,Carboxysome assembly protein
167949693,207,CT978603.1_822,GCA_000063525.1,PF12288,161,587,767,0.0,IPR020990,Carboxysome assembly protein
74189,207,GL947594.1_538,GCA_000218705.1,PF12288,627,717,771,4.2e-05,IPR020990,Carboxysome assembly protein
74190,207,GL947594.1_538,GCA_000218705.1,PF12288,167,589,771,0.0,IPR020990,Carboxysome assembly protein
77275,207,GL947595.1_1070,GCA_000218745.1,PF12288,618,709,761,4.2e-05,IPR020990,Carboxysome assembly protein
77276,207,GL947595.1_1070,GCA_000218745.1,PF12288,157,579,761,0.0,IPR020990,Carboxysome assembly protein
101055,207,AGIG01000034.1_33,GCA_000227525.2,PF12288,113,505,662,0.0,IPR020990,Carboxysome assembly protein
1189066,207,JFLJ01000108.1_4,GCA_000634115.1,PF12288,157,581,766,0.0,IPR020990,Carboxysome assembly protein
1192419,207,JFLX01000006.1_6,GCA_000634215.1,PF12288,156,579,764,0.0,IPR020990,Carboxysome assembly protein
1195056,207,JFNH01000096.1_5,GCA_000634415.1,PF12288,157,580,765,0.0,IPR020990,Carboxysome assembly protein
1195606,207,JFNU01000005.1_102,GCA_000634515.1,PF12288,617,710,759,1.9e-05,IPR020990,Carboxysome assembly protein
1195607,207,JFNU01000005.1_102,GCA_000634515.1,PF12288,154,577,759,0.0,IPR020990,Carboxysome assembly protein
1197866,207,JFMR01000045.1_107,GCA_000635015.1,PF12288,156,579,764,0.0,IPR020990,Carboxysome assembly protein
1199781,207,JFLW01000003.1_62,GCA_000635495.1,PF12288,156,579,764,0.0,IPR020990,Carboxysome assembly protein
1201422,207,JFMF01000140.1_40,GCA_000635535.1,PF12288,154,577,762,0.0,IPR020990,Carboxysome assembly protein
1292318,207,JMRP01000001.1_5,GCA_000708525.1,PF12288,197,622,803,0.0,IPR020990,Carboxysome assembly protein
1745829,207,AP014683.1_1414,GCA_000828975.1,PF12288,96,346,792,0.0,IPR020990,Carboxysome assembly protein
1745830,207,AP014683.1_1414,GCA_000828975.1,PF12288,354,582,792,0.0,IPR020990,Carboxysome assembly protein
2093918,207,JXQG01000052.1_9,GCA_001007665.1,PF12288,210,643,849,0.0,IPR020990,Carboxysome assembly protein
2654431,207,CP013099.1_665,GCA_001447805.1,PF12288,160,305,632,1.4e-27,IPR020990,Carboxysome assembly protein
2654432,207,CP013099.1_665,GCA_001447805.1,PF12288,295,453,632,0.0,IPR020990,Carboxysome assembly protein
2873166,207,LNEJ01000049.1_88,GCA_001464965.1,PF12288,223,431,985,0.0,IPR020990,Carboxysome assembly protein
2873165,207,LNEJ01000049.1_88,GCA_001464965.1,PF12288,424,773,985,0.0,IPR020990,Carboxysome assembly protein
3914924,207,MEGH01000006.1_138,GCA_001725415.1,PF12288,149,458,620,4.1058e-43,IPR020990,Carboxysome assembly protein
3914923,207,MEGH01000006.1_138,GCA_001725415.1,PF12288,67,242,620,1.8e-10,IPR020990,Carboxysome assembly protein
4999316,207,MGZO01000077.1_83,GCA_001802655.1,PF12288,2,154,345,0.0,IPR020990,Carboxysome assembly protein
5376004,207,MKRN01000020.1_1,GCA_001896955.1,PF12288,176,543,828,0.0,IPR020990,Carboxysome assembly protein
5376003,207,MKRN01000020.1_1,GCA_001896955.1,PF12288,428,717,828,0.0,IPR020990,Carboxysome assembly protein
5434520,207,MKUE01000136.1_14,GCA_001897675.1,PF12288,14,464,657,0.0,IPR020990,Carboxysome assembly protein
5653371,207,MKWL01000005.1_132,GCA_001899305.1,PF12288,14,468,662,0.0,IPR020990,Carboxysome assembly protein
6009490,207,CP019936.1_3976,GCA_002009425.1,PF12288,158,583,762,0.0,IPR020990,Carboxysome assembly protein
6098259,207,MWLD01000076.1_1,GCA_002018045.1,PF12288,13,446,651,0.0,IPR020990,Carboxysome assembly protein
6912060,207,NHBY01000018.1_7,GCA_002168155.1,PF12288,177,604,782,0.0,IPR020990,Carboxysome assembly protein
6953472,207,NHIA01000043.1_12,GCA_002170825.1,PF12288,628,736,786,1e-06,IPR020990,Carboxysome assembly protein
6953473,207,NHIA01000043.1_12,GCA_002170825.1,PF12288,177,601,786,0.0,IPR020990,Carboxysome assembly protein
7259336,207,NCAP01000002.1_24,GCA_002255495.1,PF12288,365,656,851,0.0,IPR020990,Carboxysome assembly protein
7259337,207,NCAP01000002.1_24,GCA_002255495.1,PF12288,172,360,851,4.60046e-42,IPR020990,Carboxysome assembly protein
7370962,207,NCIF01000071.1_6,GCA_002256785.1,PF12288,424,717,896,0.0,IPR020990,Carboxysome assembly protein
7370961,207,NCIF01000071.1_6,GCA_002256785.1,PF12288,171,424,896,0.0,IPR020990,Carboxysome assembly protein
7370382,207,NCIF01000145.1_3,GCA_002256785.1,PF12288,438,727,904,0.0,IPR020990,Carboxysome assembly protein
7370383,207,NCIF01000145.1_3,GCA_002256785.1,PF12288,183,551,904,0.0,IPR020990,Carboxysome assembly protein
7387345,207,NCGX01000050.1_5,GCA_002256995.1,PF12288,16,476,667,0.0,IPR020990,Carboxysome assembly protein
7396867,207,NCHD01000032.1_26,GCA_002257045.1,PF12288,16,483,674,0.0,IPR020990,Carboxysome assembly protein
7474820,207,NCCT01000003.1_19,GCA_002279795.1,PF12288,424,717,896,0.0,IPR020990,Carboxysome assembly protein
7474819,207,NCCT01000003.1_19,GCA_002279795.1,PF12288,171,426,896,0.0,IPR020990,Carboxysome assembly protein
7548106,207,NCFI01000013.1_16,GCA_002281095.1,PF12288,514,672,827,3e-08,IPR020990,Carboxysome assembly protein
7548107,207,NCFI01000013.1_16,GCA_002281095.1,PF12288,141,503,827,0.0,IPR020990,Carboxysome assembly protein
7551969,207,NCFS01000003.1_74,GCA_002281295.1,PF12288,14,436,616,0.0,IPR020990,Carboxysome assembly protein
7581886,207,NCGY01000006.1_17,GCA_002281775.1,PF12288,422,716,891,0.0,IPR020990,Carboxysome assembly protein
7581887,207,NCGY01000006.1_17,GCA_002281775.1,PF12288,169,421,891,0.0,IPR020990,Carboxysome assembly protein
7609885,207,NCKC01000003.1_43,GCA_002282715.1,PF12288,16,129,869,3.8e-06,IPR020990,Carboxysome assembly protein
7609884,207,NCKC01000003.1_43,GCA_002282715.1,PF12288,431,651,869,0.0,IPR020990,Carboxysome assembly protein
7609883,207,NCKC01000003.1_43,GCA_002282715.1,PF12288,173,533,869,0.0,IPR020990,Carboxysome assembly protein
7966063,207,DBOI01000132.1_18,GCA_002299245.1,PF12288,1,221,333,0.0,IPR020990,Carboxysome assembly protein
9360788,207,DDKN01000128.1_1,GCA_002339725.1,PF12288,324,615,791,0.0,IPR020990,Carboxysome assembly protein
9360789,207,DDKN01000128.1_1,GCA_002339725.1,PF12288,74,440,791,0.0,IPR020990,Carboxysome assembly protein
9521828,207,DDRS01000007.1_71,GCA_002343685.1,PF12288,14,468,661,0.0,IPR020990,Carboxysome assembly protein
9749288,207,DDXB01000020.1_33,GCA_002347405.1,PF12288,94,337,769,0.0,IPR020990,Carboxysome assembly protein
9749289,207,DDXB01000020.1_33,GCA_002347405.1,PF12288,345,570,769,0.0,IPR020990,Carboxysome assembly protein
10184040,207,DEQR01000037.1_30,GCA_002360535.1,PF12288,293,527,716,0.0,IPR020990,Carboxysome assembly protein
10184039,207,DEQR01000037.1_30,GCA_002360535.1,PF12288,54,284,716,0.0,IPR020990,Carboxysome assembly protein
11441511,207,DGYA01000075.1_17,GCA_002396505.1,PF12288,198,622,844,0.0,IPR020990,Carboxysome assembly protein
11591288,207,NVRQ02000001.1_17,GCA_002400905.2,PF12288,310,434,611,2.7999999999999998e-39,IPR020990,Carboxysome assembly protein
11591289,207,NVRQ02000001.1_17,GCA_002400905.2,PF12288,138,347,611,0.0,IPR020990,Carboxysome assembly protein
11665380,207,NVTY02000031.1_9,GCA_002401765.2,PF12288,288,463,649,1.12104e-44,IPR020990,Carboxysome assembly protein
11665379,207,NVTY02000031.1_9,GCA_002401765.2,PF12288,164,334,649,5e-36,IPR020990,Carboxysome assembly protein
12321220,207,DHYU01000073.1_34,GCA_002415485.1,PF12288,150,304,499,0.0,IPR020990,Carboxysome assembly protein
12321221,207,DHYU01000073.1_34,GCA_002415485.1,PF12288,7,211,499,0.0,IPR020990,Carboxysome assembly protein
12540361,207,DIJW01000201.1_18,GCA_002421475.1,PF12288,1,71,220,1.1e-13,IPR020990,Carboxysome assembly protein
12692979,207,DIUM01000112.1_16,GCA_002423035.1,PF12288,42,468,658,0.0,IPR020990,Carboxysome assembly protein
12845367,207,DILV01000023.1_147,GCA_002425225.1,PF12288,154,396,798,0.0,IPR020990,Carboxysome assembly protein
12845368,207,DILV01000023.1_147,GCA_002425225.1,PF12288,404,575,798,0.0,IPR020990,Carboxysome assembly protein
13803341,207,DKAR01000058.1_2,GCA_002450895.1,PF12288,330,410,668,2.1e-12,IPR020990,Carboxysome assembly protein
13803340,207,DKAR01000058.1_2,GCA_002450895.1,PF12288,402,622,668,9.6e-23,IPR020990,Carboxysome assembly protein
13803339,207,DKAR01000058.1_2,GCA_002450895.1,PF12288,233,320,668,1.7e-07,IPR020990,Carboxysome assembly protein
13803338,207,DKAR01000058.1_2,GCA_002450895.1,PF12288,90,225,668,3.6e-19,IPR020990,Carboxysome assembly protein
14136402,207,DKOB01000023.1_69,GCA_002470305.1,PF12288,178,605,783,0.0,IPR020990,Carboxysome assembly protein
15283930,207,NYUU01000138.1_2,GCA_002684175.1,PF12288,181,605,792,0.0,IPR020990,Carboxysome assembly protein
15283931,207,NYUU01000138.1_2,GCA_002684175.1,PF12288,633,742,792,6.5e-06,IPR020990,Carboxysome assembly protein
15554408,207,NZED01000040.1_3,GCA_002690325.1,PF12288,180,604,791,0.0,IPR020990,Carboxysome assembly protein
15994429,207,PAEP01000009.1_2,GCA_002700765.1,PF12288,660,754,804,6.5e-07,IPR020990,Carboxysome assembly protein
15994430,207,PAEP01000009.1_2,GCA_002700765.1,PF12288,196,620,804,0.0,IPR020990,Carboxysome assembly protein
16013080,207,NZVB01000037.1_30,GCA_002701375.1,PF12288,639,749,800,1.5e-05,IPR020990,Carboxysome assembly protein
16013081,207,NZVB01000037.1_30,GCA_002701375.1,PF12288,187,611,800,0.0,IPR020990,Carboxysome assembly protein
16184003,207,PAFS01000050.1_6,GCA_002705325.1,PF12288,107,500,656,0.0,IPR020990,Carboxysome assembly protein
16996442,207,PBKR01000030.1_44,GCA_002721545.1,PF12288,329,447,714,9.8e-25,IPR020990,Carboxysome assembly protein
16996441,207,PBKR01000030.1_44,GCA_002721545.1,PF12288,452,660,714,1.9999999999999998e-25,IPR020990,Carboxysome assembly protein
16996439,207,PBKR01000030.1_44,GCA_002721545.1,PF12288,79,222,714,6.8e-11,IPR020990,Carboxysome assembly protein
16996440,207,PBKR01000030.1_44,GCA_002721545.1,PF12288,230,318,714,2.1e-08,IPR020990,Carboxysome assembly protein
17807200,207,NVWZ01000014.1_50,GCA_002746365.1,PF12288,177,600,786,0.0,IPR020990,Carboxysome assembly protein
20314393,207,PLAE01000175.1_15,GCA_003134035.1,PF12288,265,326,597,7.8e-12,IPR020990,Carboxysome assembly protein
20314394,207,PLAE01000175.1_15,GCA_003134035.1,PF12288,11,209,597,2.4e-23,IPR020990,Carboxysome assembly protein
20314395,207,PLAE01000175.1_15,GCA_003134035.1,PF12288,334,435,597,9.1e-23,IPR020990,Carboxysome assembly protein
20522854,207,PLEY01000079.1_13,GCA_003136595.1,PF12288,183,322,665,5.9e-20,IPR020990,Carboxysome assembly protein
20522853,207,PLEY01000079.1_13,GCA_003136595.1,PF12288,91,226,665,4.4e-09,IPR020990,Carboxysome assembly protein
20522852,207,PLEY01000079.1_13,GCA_003136595.1,PF12288,334,500,665,1.4999999999999998e-29,IPR020990,Carboxysome assembly protein
20533980,207,PLFC01000134.1_3,GCA_003136655.1,PF12288,91,190,483,1.1e-05,IPR020990,Carboxysome assembly protein
20533981,207,PLFC01000134.1_3,GCA_003136655.1,PF12288,144,381,483,7.3e-21,IPR020990,Carboxysome assembly protein
21394987,207,PMFP01000144.1_2,GCA_003155175.1,PF12288,104,247,303,3.2e-05,IPR020990,Carboxysome assembly protein
169055268,207,QCVY01000018.1_15,GCA_003208695.1,PF12288,152,575,760,0.0,IPR020990,Carboxysome assembly protein
169056481,207,QCUP01000056.1_3,GCA_003208885.1,PF12288,2,320,482,0.0,IPR020990,Carboxysome assembly protein
169058237,207,QCTB01000002.1_18,GCA_003209055.1,PF12288,157,580,765,0.0,IPR020990,Carboxysome assembly protein
169060242,207,QCSX01000004.1_3,GCA_003209065.1,PF12288,157,580,765,0.0,IPR020990,Carboxysome assembly protein
169060697,207,QCSL01000004.1_70,GCA_003209165.1,PF12288,176,600,784,0.0,IPR020990,Carboxysome assembly protein
169060698,207,QCSL01000004.1_70,GCA_003209165.1,PF12288,627,733,784,2e-07,IPR020990,Carboxysome assembly protein
169068118,207,QCRF01000003.1_90,GCA_003209375.1,PF12288,156,579,764,0.0,IPR020990,Carboxysome assembly protein
169068834,207,QCRB01000034.1_7,GCA_003209425.1,PF12288,93,182,239,5.8e-05,IPR020990,Carboxysome assembly protein
169068833,207,QCRB01000034.1_7,GCA_003209425.1,PF12288,8,54,239,1.2e-14,IPR020990,Carboxysome assembly protein
