annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
830275,207,LBOO01000003.1_59,GCA_000989565.1,K01100,321.27,348.3,0.0
844010,207,LBUS01000009.1_45,GCA_000992695.1,K01100,321.27,350.9,0.0
846930,207,LBWJ01000007.1_86,GCA_000993595.1,K01100,321.27,354.7,0.0
847361,207,LBWM01000002.1_97,GCA_000993615.1,K01100,321.27,372.3,0.0
1930884,207,MFXA01000037.1_9,GCA_001787455.1,K01100,321.27,360.9,0.0
1931283,207,MFXJ01000047.1_6,GCA_001787465.1,K01100,321.27,345.1,0.0
1931509,207,MFXB01000012.1_7,GCA_001787475.1,K01100,321.27,353.7,0.0
1931777,207,MFXP01000002.1_10,GCA_001787535.1,K01100,321.27,328.8,0.0
1932393,207,MFXW01000041.1_6,GCA_001787585.1,K01100,321.27,323.4,0.0
1932764,207,MFYJ01000007.1_305,GCA_001787755.1,K01100,321.27,340.5,0.0
1943853,207,MFXK01000011.1_36,GCA_001788835.1,K01100,321.27,342.6,0.0
1944345,207,MFXS01000009.1_9,GCA_001788925.1,K01100,321.27,341.1,0.0
1944862,207,MFXT01000022.1_22,GCA_001788955.1,K01100,321.27,340.3,0.0
1945091,207,MFXU01000006.1_40,GCA_001788965.1,K01100,321.27,348.8,0.0
1945775,207,MFYG01000021.1_72,GCA_001789045.1,K01100,321.27,345.0,0.0
2342526,207,MNWP01000040.1_7,GCA_001872575.1,K01100,321.27,333.2,0.0
4951809,207,DGOF01000041.1_25,GCA_002389285.1,K01100,321.27,352.6,0.0
5961117,207,DJKT01000007.1_13,GCA_002436205.1,K01100,321.27,348.1,0.0
7895520,207,PDQG01000002.1_22,GCA_002747745.1,K01100,321.27,346.1,0.0
7981262,207,PFDP01000009.1_2,GCA_002772535.1,K01100,321.27,345.5,0.0
7981925,207,PFDS01000041.1_19,GCA_002772605.1,K01100,321.27,343.3,0.0
7983532,207,PFDV01000005.1_378,GCA_002772745.1,K01100,321.27,333.9,0.0
7983832,207,PFDQ01000028.1_7,GCA_002772815.1,K01100,321.27,330.0,0.0
8087638,207,PCVP01000014.1_64,GCA_002787035.1,K01100,321.27,344.4,0.0
8103007,207,PFRW01000030.1_10,GCA_002788755.1,K01100,321.27,323.7,0.0
8103362,207,PFRX01000043.1_79,GCA_002788775.1,K01100,321.27,324.2,0.0
8132586,207,PFOK01000047.1_5,GCA_002792495.1,K01100,321.27,364.8,0.0
8145326,207,PCVQ01000044.1_40,GCA_002796025.1,K01100,321.27,339.5,0.0
9364231,207,PLYH01000001.1_256,GCA_003153355.1,K01100,321.27,325.2,0.0
12871763,207,DMXL01000005.1_70,GCA_003483925.1,K01100,321.27,334.3,0.0
14604237,207,SLNK01000049.1_26,GCA_007133095.1,K01100,321.27,360.9,0.0
14736755,207,VMEW01000021.1_5,GCA_007375735.1,K01100,321.27,331.9,0.0
14745623,207,VMGQ01000022.1_11,GCA_007376635.1,K01100,321.27,339.7,0.0
15329695,207,SICS01000011.1_2,GCA_009691305.1,K01100,321.27,344.3,0.0
15331095,207,SICN01000004.1_22,GCA_009691405.1,K01100,321.27,343.6,0.0
16786873,207,JAACPJ010000001.1_316,GCA_009995455.1,K01100,321.27,323.3,0.0
