annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91833929,207,AP010656.1_641,GCA_000010645.1,K02591,408.93,536.3,0.0
91838551,207,CP000781.1_92,GCA_000017645.1,K02591,408.93,645.7,0.0
91879190,207,DS990592.1_4256,GCA_000155695.1,K02591,408.93,546.8,0.0
91924562,207,ADZZ01000138.1_19,GCA_000179315.1,K02591,408.93,555.2,0.0
91940796,207,CP002770.1_3328,GCA_000214705.1,K02591,408.93,518.2,0.0
13215,207,CP007053.1_200,GCA_000242935.3,K02591,408.93,544.3,0.0
13238,207,CP007053.1_262,GCA_000242935.3,K02591,408.93,500.1,0.0
15736,207,CM001438.1_1008,GCA_000244995.1,K02591,408.93,609.2,0.0
53234,207,CP003083.1_1278,GCA_000306725.1,K02591,408.93,423.8,0.0
53231,207,CP003083.1_1276,GCA_000306725.1,K02591,408.93,541.7,0.0
58105,207,ALAO01000123.1_5,GCA_000307955.1,K02591,408.93,545.1,0.0
58486,207,ALAO01000189.1_10,GCA_000307955.1,K02591,408.93,493.1,0.0
62013,207,AMGN01000049.1_6,GCA_000309865.1,K02591,408.93,479.0,0.0
62015,207,AMGN01000049.1_8,GCA_000309865.1,K02591,408.93,523.6,0.0
64458,207,CM001633.1_4873,GCA_000309945.1,K02591,408.93,648.8,0.0
65200,207,CP003920.1_1314,GCA_000310245.1,K02591,408.93,600.9,0.0
76991,207,KB235926.1_3149,GCA_000332255.1,K02591,408.93,485.9,0.0
76048,207,KB235926.1_1286,GCA_000332255.1,K02591,408.93,647.7,0.0
106651,207,KB904821.1_2325,GCA_000380225.1,K02591,408.93,614.4,0.0
142266,207,KE159582.1_177,GCA_000403255.2,K02591,408.93,418.5,0.0
187105,207,ATWE01000054.1_3,GCA_000421085.1,K02591,408.93,626.6,0.0
383110,207,HG425166.1_125,GCA_000499765.1,K02591,408.93,522.7,0.0
383108,207,HG425166.1_123,GCA_000499765.1,K02591,408.93,466.9,0.0
408898,207,KI911947.1_175,GCA_000517005.1,K02591,408.93,629.3,0.0
427905,207,JAFS01000001.1_951,GCA_000526255.1,K02591,408.93,636.2,0.0
453198,207,CBZS010000430.1_18,GCA_000613065.1,K02591,408.93,631.0,0.0
495005,207,JJNX02000025.1_8,GCA_000681355.2,K02591,408.93,535.4,0.0
597674,207,KL662192.1_75,GCA_000733415.1,K02591,408.93,638.5,0.0
600175,207,JPSP01000010.1_49,GCA_000737945.1,K02591,408.93,611.8,0.0
604370,207,DF820458.1_513,GCA_000739515.1,K02591,408.93,530.8,0.0
617605,207,JQGK01000001.1_295,GCA_000743525.1,K02591,408.93,586.5,0.0
622947,207,JQKK01000025.1_20,GCA_000746015.1,K02591,408.93,417.8,0.0
625395,207,JQGL01000045.1_1,GCA_000747095.1,K02591,408.93,603.0,0.0
626393,207,JQDQ01000073.1_16,GCA_000747625.2,K02591,408.93,542.4,0.0
681684,207,JROS01000008.1_49,GCA_000769715.1,K02591,408.93,559.5,0.0
683773,207,JQID01000095.1_9,GCA_000770645.1,K02591,408.93,574.8,0.0
696739,207,JUEB01000015.1_25,GCA_000802095.1,K02591,408.93,572.5,0.0
710728,207,CCNB01000015.1_34,GCA_000824785.1,K02591,408.93,631.1,0.0
713911,207,CCNA01000013.1_20,GCA_000824805.1,K02591,408.93,634.1,0.0
718308,207,LM655202.1_254,GCA_000824825.2,K02591,408.93,634.1,0.0
721544,207,CCNC01000179.1_52,GCA_000824845.1,K02591,408.93,634.1,0.0
723093,207,AP014633.1_1783,GCA_000828835.1,K02591,408.93,618.3,0.0
724849,207,AP014683.1_1377,GCA_000828975.1,K02591,408.93,614.4,0.0
727304,207,JQIS01000066.1_20,GCA_000830175.1,K02591,408.93,587.6,0.0
728781,207,JQIT01000005.1_268,GCA_000830255.1,K02591,408.93,604.4,0.0
750229,207,LM997411.1_2059,GCA_000953475.1,K02591,408.93,649.4,0.0
767917,207,LADP01000032.1_47,GCA_000961575.1,K02591,408.93,571.5,0.0
770187,207,LADN01000053.1_45,GCA_000961585.1,K02591,408.93,575.8,0.0
772285,207,LADO01000055.1_82,GCA_000961595.1,K02591,408.93,566.8,0.0
779356,207,LADR01000085.1_7,GCA_000961655.1,K02591,408.93,545.4,0.0
783269,207,LADS01000004.1_71,GCA_000961725.1,K02591,408.93,560.2,0.0
786240,207,LAEA01000099.1_20,GCA_000961745.1,K02591,408.93,626.0,0.0
792484,207,LADV01000299.1_2,GCA_000961805.1,K02591,408.93,582.6,0.0
818630,207,CCRI01000031.1_19,GCA_000985875.1,K02591,408.93,611.7,0.0
821974,207,CCRN01000023.1_27,GCA_000985895.1,K02591,408.93,610.4,0.0
827555,207,LBIU01000565.1_6,GCA_000987445.1,K02591,408.93,608.1,0.0
875744,207,CP011392.1_600,GCA_001005265.1,K02591,408.93,578.3,0.0
886306,207,LDXJ01000058.1_158,GCA_001029295.1,K02591,408.93,579.1,0.0
894012,207,LFCU01000132.1_2,GCA_001044195.1,K02591,408.93,537.6,0.0
921659,207,LGTB01000010.1_74,GCA_001238275.1,K02591,408.93,633.0,0.0
1025234,207,BBCK01000057.1_24,GCA_001312005.1,K02591,408.93,621.2,0.0
1050347,207,LJZR01000021.1_68,GCA_001314865.1,K02591,408.93,609.5,0.0
1053022,207,LJZT01000032.1_4,GCA_001314905.1,K02591,408.93,528.3,0.0
1059028,207,BBES01000002.1_175,GCA_001316325.1,K02591,408.93,445.1,0.0
1110561,207,LKPX01000006.1_64,GCA_001443525.1,K02591,408.93,503.3,0.0
1109485,207,LKPX01000013.1_54,GCA_001443525.1,K02591,408.93,553.7,0.0
1119569,207,LIUG01000033.1_63,GCA_001462245.1,K02591,408.93,532.7,0.0
1119504,207,LIUG01000026.1_16,GCA_001462245.1,K02591,408.93,534.5,0.0
1230646,207,FAXN01000036.1_12,GCA_001493195.1,K02591,408.93,592.2,0.0
1248403,207,LGFT01000081.1_5,GCA_001509375.1,K02591,408.93,541.1,0.0
1259633,207,LPWA01000161.1_11,GCA_001510895.1,K02591,408.93,632.6,0.0
1319272,207,LOEW01000092.1_13,GCA_001516045.1,K02591,408.93,590.8,0.0
1321504,207,LOEZ01000019.1_86,GCA_001516055.1,K02591,408.93,583.2,0.0
1454386,207,LUYE01000048.1_18,GCA_001602645.1,K02591,408.93,526.3,0.0
1458334,207,LUZT01000011.1_100,GCA_001602925.1,K02591,408.93,565.7,0.0
1457968,207,LUZT01000006.1_400,GCA_001602925.1,K02591,408.93,513.5,0.0
1461454,207,LVAS01000062.1_10,GCA_001603035.1,K02591,408.93,508.4,0.0
1462050,207,LVAZ01000212.1_8,GCA_001603055.1,K02591,408.93,544.1,0.0
1468300,207,LVBI01000043.1_9,GCA_001603145.1,K02591,408.93,421.9,0.0
1473061,207,LUYR01000161.1_5,GCA_001603335.1,K02591,408.93,625.8,0.0
1482871,207,LUZY01000003.1_130,GCA_001603805.1,K02591,408.93,584.0,0.0
1485106,207,LUZZ01000315.1_6,GCA_001603845.1,K02591,408.93,562.1,0.0
1496853,207,LVAV01000054.1_62,GCA_001604185.1,K02591,408.93,421.3,0.0
1502161,207,LVBK01000047.1_8,GCA_001604385.1,K02591,408.93,522.2,0.0
1502536,207,LVBL01000030.1_15,GCA_001604405.1,K02591,408.93,539.8,0.0
1507789,207,LVBW01000006.1_7,GCA_001604585.1,K02591,408.93,544.1,0.0
1511890,207,LVWG01000032.1_134,GCA_001622165.1,K02591,408.93,566.6,0.0
1541205,207,LUUF01000077.1_8,GCA_001644045.1,K02591,408.93,630.0,0.0
1549522,207,KV441839.1_714,GCA_001650175.1,K02591,408.93,488.9,0.0
1549534,207,KV441839.1_731,GCA_001650175.1,K02591,408.93,550.6,0.0
1564124,207,LWRO01000015.1_119,GCA_001657325.1,K02591,408.93,619.7,0.0
1563784,207,LWRO01000008.1_72,GCA_001657325.1,K02591,408.93,631.1,0.0
1570188,207,LBCX01000005.1_31,GCA_001657575.1,K02591,408.93,510.0,0.0
1570256,207,LBCX01000316.1_2,GCA_001657575.1,K02591,408.93,446.2,0.0
1570263,207,LBCX01000006.1_1,GCA_001657575.1,K02591,408.93,510.5,0.0
1585662,207,MAEO01000128.1_22,GCA_001683985.1,K02591,408.93,489.7,0.0
1597278,207,MBRE01000094.1_18,GCA_001698425.1,K02591,408.93,641.1,0.0
1610952,207,MBFK01000144.1_3,GCA_001704765.1,K02591,408.93,602.0,0.0
1617547,207,LVKA01000021.1_4,GCA_001709035.1,K02591,408.93,623.0,0.0
1618824,207,MDTP02000079.1_22,GCA_001714685.2,K02591,408.93,564.0,0.0
1618822,207,MDTP02000079.1_20,GCA_001714685.2,K02591,408.93,445.5,0.0
1675027,207,LRMT01000064.1_39,GCA_001725945.1,K02591,408.93,485.3,0.0
1692662,207,MAXM01000301.1_12,GCA_001751015.1,K02591,408.93,560.5,0.0
1727839,207,MEMX01000094.1_2,GCA_001768075.1,K02591,408.93,567.7,0.0
1789895,207,MERU01000006.1_363,GCA_001770725.1,K02591,408.93,617.3,0.0
1903996,207,MFNE01000038.1_25,GCA_001783695.1,K02591,408.93,596.8,0.0
1904679,207,MFNF01000004.1_33,GCA_001783715.1,K02591,408.93,596.6,0.0
2055055,207,MGTC01000080.1_10,GCA_001799255.1,K02591,408.93,566.5,0.0
2058049,207,MGTD01000048.1_42,GCA_001799285.1,K02591,408.93,570.8,0.0
2058495,207,MGTI01000009.1_6,GCA_001799365.1,K02591,408.93,560.7,0.0
2062126,207,MGTJ01000180.1_7,GCA_001799395.1,K02591,408.93,550.6,0.0
2063509,207,MGTN01000127.1_53,GCA_001799475.1,K02591,408.93,570.2,0.0
2065260,207,MGTO01000132.1_37,GCA_001799485.1,K02591,408.93,576.2,0.0
2089101,207,MGVF01000039.1_2,GCA_001800355.1,K02591,408.93,545.3,0.0
2091756,207,MGVN01000251.1_3,GCA_001800515.1,K02591,408.93,547.4,0.0
2102459,207,MGWR01000014.1_2,GCA_001801085.1,K02591,408.93,615.7,0.0
2105074,207,MGWS01000033.1_129,GCA_001801105.1,K02591,408.93,615.7,0.0
2130958,207,MGZB01000002.1_149,GCA_001801995.1,K02591,408.93,634.9,0.0
2133351,207,MGZK01000070.1_2,GCA_001802125.1,K02591,408.93,585.6,0.0
2138967,207,MGZJ01000010.1_37,GCA_001802645.1,K02591,408.93,585.4,0.0
2140967,207,MGZO01000020.1_18,GCA_001802655.1,K02591,408.93,641.0,0.0
2178764,207,MHDU01000080.1_33,GCA_001803635.1,K02591,408.93,610.5,0.0
2182503,207,MHEK01000093.1_2,GCA_001803795.1,K02591,408.93,637.7,0.0
2200903,207,MHBI01000031.1_8,GCA_001804815.1,K02591,408.93,548.7,0.0
2202841,207,MHBK01000027.1_24,GCA_001804865.1,K02591,408.93,558.4,0.0
2208558,207,MHDZ01000067.1_13,GCA_001805055.1,K02591,408.93,606.9,0.0
2209542,207,MHEE01000009.1_170,GCA_001805105.1,K02591,408.93,608.8,0.0
2246932,207,MHXL01000122.1_2,GCA_001824455.1,K02591,408.93,592.4,0.0
2268009,207,MHZX01000029.1_6,GCA_001828935.1,K02591,408.93,625.0,0.0
2272855,207,MIAN01000268.1_30,GCA_001829125.1,K02591,408.93,412.2,0.0
2272852,207,MIAN01000268.1_28,GCA_001829125.1,K02591,408.93,586.3,0.0
2273426,207,MIAO01000074.1_26,GCA_001829155.1,K02591,408.93,567.1,0.0
2275821,207,MIAY01000010.1_71,GCA_001829315.1,K02591,408.93,570.5,0.0
2282290,207,MIBW01000048.1_3,GCA_001829625.1,K02591,408.93,480.7,0.0
2285169,207,MICF01000001.1_204,GCA_001829785.1,K02591,408.93,600.4,0.0
2317474,207,MNUQ01000086.1_10,GCA_001871085.1,K02591,408.93,492.9,0.0
2317778,207,MNUQ01000182.1_1,GCA_001871085.1,K02591,408.93,574.4,0.0
2347643,207,MNWR01000108.1_11,GCA_001872725.1,K02591,408.93,624.1,0.0
2354399,207,MNYL01000079.1_6,GCA_001873075.1,K02591,408.93,542.2,0.0
2296436,207,MLAW01000023.1_34,GCA_001890975.1,K02591,408.93,548.1,0.0
2297375,207,BDIR01000001.1_248,GCA_001895145.1,K02591,408.93,585.4,0.0
2412883,207,MKRS01000824.1_3,GCA_001897035.1,K02591,408.93,535.4,0.0
2509025,207,MKVK01000018.1_23,GCA_001898825.1,K02591,408.93,624.1,0.0
2580673,207,MQUF01000001.1_33,GCA_001914235.1,K02591,408.93,571.1,0.0
2692317,207,CP019936.1_1464,GCA_002009425.1,K02591,408.93,634.8,0.0
2727710,207,MTOU01000029.1_15,GCA_002011745.1,K02591,408.93,636.1,0.0
2743680,207,LLYS01000005.1_136,GCA_002049495.1,K02591,408.93,587.4,0.0
2773516,207,MVPY01000087.1_13,GCA_002067065.1,K02591,408.93,522.6,0.0
2773514,207,MVPY01000087.1_11,GCA_002067065.1,K02591,408.93,464.8,0.0
2782415,207,MVQX01000087.1_93,GCA_002067275.1,K02591,408.93,551.4,0.0
2782413,207,MVQX01000087.1_91,GCA_002067275.1,K02591,408.93,433.7,0.0
2784861,207,MVQY01000165.1_39,GCA_002067325.1,K02591,408.93,533.9,0.0
2784864,207,MVQY01000165.1_41,GCA_002067325.1,K02591,408.93,453.6,0.0
2785289,207,MVRK01000029.1_101,GCA_002067365.1,K02591,408.93,540.0,0.0
2787788,207,MVRO01000132.1_6,GCA_002067395.1,K02591,408.93,479.3,0.0
2787277,207,MVRO01000046.1_22,GCA_002067395.1,K02591,408.93,572.8,0.0
2789462,207,MVRP01000108.1_11,GCA_002067405.1,K02591,408.93,564.7,0.0
2794669,207,MVQZ01000276.1_8,GCA_002067565.1,K02591,408.93,458.9,0.0
2794671,207,MVQZ01000276.1_10,GCA_002067565.1,K02591,408.93,528.8,0.0
2797480,207,MVRL01000089.1_12,GCA_002067705.1,K02591,408.93,533.2,0.0
2800730,207,MVQH01000075.1_38,GCA_002067755.1,K02591,408.93,546.4,0.0
2808566,207,MVRN01000118.1_14,GCA_002067965.1,K02591,408.93,560.9,0.0
2846451,207,MWCJ01000005.1_4,GCA_002069975.1,K02591,408.93,554.1,0.0
2875680,207,MWDT01000019.1_5,GCA_002070825.1,K02591,408.93,566.3,0.0
2913461,207,MSXO01000027.1_3,GCA_002083615.1,K02591,408.93,630.6,0.0
2954639,207,AP017913.1_205,GCA_002091395.1,K02591,408.93,526.4,0.0
2973292,207,NEED01000049.1_254,GCA_002110465.1,K02591,408.93,617.6,0.0
2982666,207,MBQZ01000010.1_30,GCA_002134785.1,K02591,408.93,620.2,0.0
2984819,207,MUGG01000119.1_42,GCA_002148405.1,K02591,408.93,638.4,0.0
3054351,207,CP019636.1_4031,GCA_002163975.1,K02591,408.93,634.5,0.0
3126748,207,NETF01000165.1_39,GCA_002172675.1,K02591,408.93,614.2,0.0
3158678,207,MJUZ01000014.1_13,GCA_002237645.1,K02591,408.93,515.1,0.0
3287990,207,NQJI01000041.1_4,GCA_002256705.1,K02591,408.93,624.8,0.0
3299177,207,NCGX01000016.1_46,GCA_002256995.1,K02591,408.93,645.5,0.0
3381347,207,NCGJ01000007.1_68,GCA_002281555.1,K02591,408.93,632.1,0.0
3384240,207,NCGK01000014.1_3,GCA_002281735.1,K02591,408.93,622.6,0.0
3492769,207,DBEP01000075.1_51,GCA_002294045.1,K02591,408.93,418.0,0.0
3493664,207,DBEP01000051.1_52,GCA_002294045.1,K02591,408.93,551.5,0.0
3532420,207,DBMP01000029.1_88,GCA_002298145.1,K02591,408.93,555.5,0.0
3532240,207,DBMP01000017.1_49,GCA_002298145.1,K02591,408.93,495.7,0.0
3531939,207,DBMP01000016.1_6,GCA_002298145.1,K02591,408.93,485.8,0.0
3536302,207,DBMI01000028.1_139,GCA_002298165.1,K02591,408.93,555.7,0.0
3539447,207,DBNK01000010.1_7,GCA_002298335.1,K02591,408.93,624.7,0.0
3551342,207,DBMM01000094.1_4,GCA_002298925.1,K02591,408.93,585.3,0.0
3552696,207,DBMN01000263.1_32,GCA_002298965.1,K02591,408.93,629.7,0.0
3585945,207,NEUU01000012.1_15,GCA_002304345.1,K02591,408.93,556.2,0.0
3590250,207,NCEH01000083.1_3,GCA_002304505.1,K02591,408.93,644.7,0.0
3594258,207,DBMG01000129.1_9,GCA_002304785.1,K02591,408.93,597.5,0.0
3646074,207,DBRO01000109.1_36,GCA_002306005.1,K02591,408.93,530.9,0.0
3654133,207,DBTH01000001.1_18,GCA_002306945.1,K02591,408.93,563.8,0.0
3654040,207,DBTH01000319.1_18,GCA_002306945.1,K02591,408.93,493.5,0.0
3655081,207,DBTI01000267.1_35,GCA_002306975.1,K02591,408.93,495.3,0.0
3655727,207,DBTI01000098.1_16,GCA_002306975.1,K02591,408.93,536.0,0.0
3655734,207,DBTI01000098.1_32,GCA_002306975.1,K02591,408.93,442.5,0.0
3654530,207,DBTI01000114.1_48,GCA_002306975.1,K02591,408.93,485.4,0.0
3654507,207,DBTI01000114.1_16,GCA_002306975.1,K02591,408.93,417.4,0.0
3656626,207,DBTJ01000037.1_48,GCA_002306985.1,K02591,408.93,508.3,0.0
3660963,207,DBTL01000044.1_76,GCA_002307035.1,K02591,408.93,528.8,0.0
3660242,207,DBTL01000134.1_17,GCA_002307035.1,K02591,408.93,507.0,0.0
3661502,207,DBTM01000036.1_115,GCA_002307055.1,K02591,408.93,539.0,0.0
3664047,207,DBTO01000177.1_3,GCA_002307095.1,K02591,408.93,442.1,0.0
3667777,207,DBTR01000062.1_2,GCA_002307145.1,K02591,408.93,625.3,0.0
3668751,207,DBTR01000004.1_4,GCA_002307145.1,K02591,408.93,509.6,0.0
3671550,207,DBTS01000029.1_7,GCA_002307175.1,K02591,408.93,440.6,0.0
3670334,207,DBTS01000024.1_54,GCA_002307175.1,K02591,408.93,554.0,0.0
3669634,207,DBTS01000093.1_15,GCA_002307175.1,K02591,408.93,425.9,0.0
