annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
104888,207,KB901005.1_2,GCA_000379225.1,K00436,660.5,760.1,0.0
139168,207,AQSL01000130.1_15,GCA_000403035.1,K00436,660.5,762.9,0.0
364827,207,AWNW01000002.1_44,GCA_000493945.1,K00436,660.5,743.0,0.0
437818,207,JFAX01000001.1_143,GCA_000585015.1,K00436,660.5,759.6,0.0
440542,207,JEMX01000025.1_62,GCA_000585055.1,K00436,660.5,762.5,0.0
444151,207,JEMY01000054.1_15,GCA_000585075.1,K00436,660.5,759.4,0.0
467129,207,JIAQ01000021.1_57,GCA_000620725.1,K00436,660.5,688.7,0.0
530735,207,JMRP01000013.1_29,GCA_000708525.1,K00436,660.5,726.8,0.0
681626,207,JROS01000057.1_51,GCA_000769715.1,K00436,660.5,704.6,0.0
722953,207,AP014633.1_1500,GCA_000828835.1,K00436,660.5,752.1,0.0
827285,207,LBIU01000437.1_5,GCA_000987445.1,K00436,660.5,758.0,0.0
928167,207,CP011339.1_1582,GCA_001264245.1,K00436,660.5,763.3,0.0
973246,207,LJTQ01000074.1_5,GCA_001303445.1,K00436,660.5,772.3,0.0
997313,207,LJUQ01000204.1_4,GCA_001304505.1,K00436,660.5,727.0,0.0
1053666,207,LJZT01000087.1_12,GCA_001314905.1,K00436,660.5,767.6,0.0
1098383,207,LEKQ01000001.1_185,GCA_001443005.1,K00436,660.5,733.4,0.0
1239598,207,LGFI01000002.1_19,GCA_001508155.1,K00436,660.5,726.4,0.0
1241440,207,LGHA01000171.1_5,GCA_001508595.1,K00436,660.5,687.9,0.0
1242458,207,LGFB01000048.1_8,GCA_001508835.1,K00436,660.5,722.0,0.0
1244017,207,LGFQ01000018.1_3,GCA_001508935.1,K00436,660.5,726.4,0.0
1244159,207,LGFQ01000025.1_18,GCA_001508935.1,K00436,660.5,711.4,0.0
1245424,207,LGGV01000012.1_18,GCA_001509095.1,K00436,660.5,710.6,0.0
1386882,207,LSNW01000032.1_184,GCA_001566965.1,K00436,660.5,749.5,0.0
1391072,207,LMZT01000121.1_31,GCA_001567115.1,K00436,660.5,751.6,0.0
1397636,207,JZRA01000009.1_99,GCA_001567485.1,K00436,660.5,696.4,0.0
1408949,207,LSCM01000033.1_2,GCA_001577185.1,K00436,660.5,729.3,0.0
1409677,207,LSCC01000005.1_30,GCA_001577215.1,K00436,660.5,712.2,0.0
1482015,207,LUZV01000096.1_4,GCA_001603765.1,K00436,660.5,680.9,0.0
1504073,207,LVBO01000032.1_2,GCA_001604435.1,K00436,660.5,702.7,0.0
1539941,207,LUUF01000003.1_61,GCA_001644045.1,K00436,660.5,765.9,0.0
1562560,207,LWRO01000031.1_24,GCA_001657325.1,K00436,660.5,769.8,0.0
1596314,207,MBRE01000057.1_42,GCA_001698425.1,K00436,660.5,768.6,0.0
1717773,207,MELI01000068.1_6,GCA_001767575.1,K00436,660.5,689.0,0.0
1751584,207,MEOL01000028.1_47,GCA_001769215.1,K00436,660.5,732.3,0.0
1753434,207,MEOQ01000040.1_135,GCA_001769275.1,K00436,660.5,726.8,0.0
1756701,207,MEOF01000010.1_24,GCA_001769505.1,K00436,660.5,710.8,0.0
1758751,207,MEOH01000020.1_38,GCA_001769535.1,K00436,660.5,727.2,0.0
1763682,207,MEPP01000013.1_13,GCA_001769855.1,K00436,660.5,720.0,0.0
1792120,207,MESA01000033.1_83,GCA_001770775.1,K00436,660.5,735.3,0.0
1803380,207,MESG01000170.1_36,GCA_001770905.1,K00436,660.5,739.8,0.0
1805574,207,MESI01000108.1_3,GCA_001770935.1,K00436,660.5,762.0,0.0
1806212,207,MESL01000002.1_87,GCA_001770955.1,K00436,660.5,743.0,0.0
1808961,207,MESQ01000022.1_24,GCA_001771065.1,K00436,660.5,769.4,0.0
1851839,207,MEYC01000048.1_16,GCA_001775715.1,K00436,660.5,738.8,0.0
1883812,207,MFIX01000153.1_6,GCA_001780825.1,K00436,660.5,763.9,0.0
1998506,207,MGMG01000002.1_31,GCA_001796355.1,K00436,660.5,689.1,0.0
2024330,207,MGQB01000001.1_70,GCA_001797675.1,K00436,660.5,690.9,0.0
2029967,207,MGQK01000114.1_22,GCA_001797815.1,K00436,660.5,767.0,0.0
2099030,207,MGWK01000064.1_32,GCA_001800975.1,K00436,660.5,689.7,0.0
2100777,207,MGWO01000007.1_974,GCA_001801025.1,K00436,660.5,780.3,0.0
2103667,207,MGWR01000070.1_20,GCA_001801085.1,K00436,660.5,764.9,0.0
2107229,207,MGXA01000031.1_20,GCA_001801215.1,K00436,660.5,735.9,0.0
2131379,207,MGZB01000016.1_80,GCA_001801995.1,K00436,660.5,773.1,0.0
2145480,207,MHAK01000012.1_27,GCA_001802945.1,K00436,660.5,707.9,0.0
2167709,207,MHBE01000044.1_24,GCA_001803205.1,K00436,660.5,748.6,0.0
2171044,207,MHBL01000312.1_9,GCA_001803235.1,K00436,660.5,738.9,0.0
2172821,207,MHBQ01000132.1_12,GCA_001803315.1,K00436,660.5,759.3,0.0
2199642,207,MHBH01000043.1_88,GCA_001804805.1,K00436,660.5,719.9,0.0
2201913,207,MHBI01000099.1_55,GCA_001804815.1,K00436,660.5,719.6,0.0
2202498,207,MHBK01000010.1_23,GCA_001804865.1,K00436,660.5,768.6,0.0
2205361,207,MHBM01000305.1_13,GCA_001804885.1,K00436,660.5,758.0,0.0
2225094,207,MHHG01000012.1_13,GCA_001805965.1,K00436,660.5,762.1,0.0
2251489,207,MHXU01000123.1_5,GCA_001824555.1,K00436,660.5,766.4,0.0
2258526,207,MHXZ01000066.1_60,GCA_001825665.1,K00436,660.5,767.8,0.0
2260373,207,MHYA01000147.1_4,GCA_001825675.1,K00436,660.5,760.8,0.0
2268676,207,MHZX01000066.1_8,GCA_001828935.1,K00436,660.5,770.0,0.0
2279005,207,MIBH01000012.1_29,GCA_001829455.1,K00436,660.5,732.3,0.0
2281776,207,MIBJ01000082.1_14,GCA_001829495.1,K00436,660.5,727.2,0.0
2283391,207,MIBZ01000039.1_59,GCA_001829675.1,K00436,660.5,693.3,0.0
2284512,207,MICC01000077.1_12,GCA_001829715.1,K00436,660.5,691.1,0.0
2285526,207,MICF01000004.1_88,GCA_001829785.1,K00436,660.5,691.2,0.0
2321551,207,MNXA01000003.1_19,GCA_001871195.1,K00436,660.5,760.1,0.0
2332177,207,MNXI01000077.1_4,GCA_001871795.1,K00436,660.5,688.4,0.0
2335255,207,MNWZ01000019.1_3,GCA_001871925.1,K00436,660.5,761.5,0.0
2339084,207,MNXU01000002.1_32,GCA_001872285.1,K00436,660.5,748.3,0.0
2362956,207,MNYZ01000067.1_52,GCA_001873365.1,K00436,660.5,777.3,0.0
2402245,207,MLAX01000004.1_253,GCA_001890945.1,K00436,660.5,738.1,0.0
2296908,207,MLAW01000043.1_12,GCA_001890975.1,K00436,660.5,767.5,0.0
2438764,207,MKUH01000001.1_101,GCA_001897745.1,K00436,660.5,763.8,0.0
2520304,207,MKUW01000006.1_133,GCA_001899005.1,K00436,660.5,680.2,0.0
2578670,207,MKGP02000047.1_14,GCA_001913845.2,K00436,660.5,758.1,0.0
2703884,207,MTNL01000047.1_4,GCA_002010365.1,K00436,660.5,736.1,0.0
2719027,207,MTNI01000125.1_2,GCA_002011415.1,K00436,660.5,735.4,0.0
2719938,207,MTNJ01000015.1_16,GCA_002011425.1,K00436,660.5,725.1,0.0
2727144,207,MTOU01000035.1_7,GCA_002011745.1,K00436,660.5,677.2,0.0
2743781,207,LLYS01000006.1_161,GCA_002049495.1,K00436,660.5,717.1,0.0
