annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91919001,207,ABYL01000151.1_12,GCA_000173575.1,K01086,586.03,606.7,0.0
15270,207,CM001438.1_177,GCA_000244995.1,K01086,586.03,586.4,0.0
38195,207,AKCV02000026.1_470,GCA_000272025.2,K01086,586.03,618.1,0.0
355020,207,CP006668.1_1440,GCA_000471925.1,K01086,586.03,612.1,0.0
439508,207,JFAX01000023.1_5,GCA_000585015.1,K01086,586.03,603.0,0.0
441424,207,JEMX01000067.1_23,GCA_000585055.1,K01086,586.03,600.5,0.0
443774,207,JEMY01000038.1_54,GCA_000585075.1,K01086,586.03,605.8,0.0
494018,207,JFHF01000077.1_6,GCA_000648925.1,K01086,586.03,607.9,0.0
826646,207,LBIU01000231.1_6,GCA_000987445.1,K01086,586.03,602.3,0.0
941182,207,LJHW01000004.1_178,GCA_001295865.1,K01086,586.03,604.6,0.0
943354,207,LJHT01000037.1_15,GCA_001295905.1,K01086,586.03,597.2,0.0
1187857,207,LNDV01000031.1_185,GCA_001464765.1,K01086,586.03,588.2,0.0
1334434,207,FCOH02000050.1_11,GCA_001544595.2,K01086,586.03,607.9,0.0
1340822,207,FCOD02000058.1_9,GCA_001544655.2,K01086,586.03,608.5,0.0
1420400,207,LRBF01000115.1_3,GCA_001580565.1,K01086,586.03,605.7,0.0
1631117,207,MEDS01000012.1_99,GCA_001724135.1,K01086,586.03,594.4,0.0
1654804,207,MEFD01000014.1_93,GCA_001724995.1,K01086,586.03,591.9,0.0
1668841,207,MEGH01000005.1_73,GCA_001725415.1,K01086,586.03,603.2,0.0
1672547,207,MEGM01000077.1_7,GCA_001725505.1,K01086,586.03,609.3,0.0
1782830,207,MEQZ01000219.1_6,GCA_001770425.1,K01086,586.03,595.7,0.0
1785772,207,MERK01000136.1_3,GCA_001770575.1,K01086,586.03,588.2,0.0
1793177,207,MERZ01000035.1_16,GCA_001770785.1,K01086,586.03,591.7,0.0
1801509,207,MESG01000062.1_42,GCA_001770905.1,K01086,586.03,623.7,0.0
1805026,207,MESI01000085.1_59,GCA_001770935.1,K01086,586.03,621.8,0.0
2012500,207,MGPC01000005.1_134,GCA_001797315.1,K01086,586.03,614.4,0.0
2269105,207,MHZX01000092.1_5,GCA_001828935.1,K01086,586.03,596.9,0.0
2326945,207,MNXW01000166.1_4,GCA_001871515.1,K01086,586.03,613.8,0.0
2558325,207,MKVV01000043.1_68,GCA_001899645.1,K01086,586.03,599.8,0.0
2690585,207,CP019882.1_3925,GCA_002007745.1,K01086,586.03,609.6,0.0
2920323,207,MTEI01000011.1_60,GCA_002083775.1,K01086,586.03,618.4,0.0
3260677,207,NKIP01000008.1_147,GCA_002256145.1,K01086,586.03,614.3,0.0
3293592,207,NCGI01000077.1_2,GCA_002256925.1,K01086,586.03,621.4,0.0
3319274,207,NCJH01000028.1_30,GCA_002278925.1,K01086,586.03,620.8,0.0
3397496,207,NCJK01000002.1_233,GCA_002282445.1,K01086,586.03,623.5,0.0
4280862,207,DDUQ01000061.1_14,GCA_002344885.1,K01086,586.03,618.4,0.0
4286669,207,DDUX01000154.1_145,GCA_002345025.1,K01086,586.03,608.2,0.0
4307488,207,DDWF01000239.1_7,GCA_002345845.1,K01086,586.03,597.4,0.0
4336193,207,DDXW01000003.1_17,GCA_002347285.1,K01086,586.03,588.4,0.0
4417269,207,DEHW01000018.1_11,GCA_002352135.1,K01086,586.03,606.3,0.0
4816874,207,DFWT01000069.1_3,GCA_002381045.1,K01086,586.03,619.7,0.0
4825955,207,DFWY01000150.1_5,GCA_002381615.1,K01086,586.03,620.9,0.0
4885279,207,DGBP01000022.1_27,GCA_002384855.1,K01086,586.03,586.6,0.0
4921285,207,DGIT01000101.1_30,GCA_002386465.1,K01086,586.03,609.4,0.0
5438640,207,DHXT01000103.1_10,GCA_002413825.1,K01086,586.03,621.8,0.0
5611860,207,DITC01000011.1_77,GCA_002422685.1,K01086,586.03,606.0,0.0
5695004,207,DILW01000146.1_3,GCA_002425245.1,K01086,586.03,593.1,0.0
5698415,207,DIME01000125.1_18,GCA_002425405.1,K01086,586.03,604.6,0.0
6194588,207,DKJA01000090.1_26,GCA_002454505.1,K01086,586.03,589.7,0.0
6203206,207,DKJZ01000033.1_9,GCA_002454975.1,K01086,586.03,587.2,0.0
6264034,207,DKNF01000238.1_3,GCA_002470165.1,K01086,586.03,595.8,0.0
6382975,207,DLPA01000159.1_17,GCA_002479815.1,K01086,586.03,624.6,0.0
6723889,207,NSIV01000005.1_73,GCA_002633085.1,K01086,586.03,610.9,0.0
8085200,207,PCUV01000004.1_1,GCA_002786915.1,K01086,586.03,605.7,0.0
8290777,207,PHCE01000002.1_5,GCA_002840765.1,K01086,586.03,595.6,0.0
8295244,207,PHCH01000125.1_15,GCA_002840785.1,K01086,586.03,598.0,0.0
8295742,207,PHCQ01000001.1_135,GCA_002840835.1,K01086,586.03,622.5,0.0
8369680,207,PHCF01000217.1_2,GCA_002842145.1,K01086,586.03,597.5,0.0
8372909,207,PHCI01000001.1_208,GCA_002842205.1,K01086,586.03,620.2,0.0
8376346,207,PHCC01000015.1_214,GCA_002842215.1,K01086,586.03,622.9,0.0
8380978,207,PHCO01000006.1_6,GCA_002842265.1,K01086,586.03,618.4,0.0
8385448,207,PHCU01000062.1_20,GCA_002842345.1,K01086,586.03,589.8,0.0
8412589,207,PHEV01000114.1_4,GCA_002843035.1,K01086,586.03,603.7,0.0
8857193,207,PQAI01000275.1_12,GCA_003105245.1,K01086,586.03,592.2,0.0
8935816,207,PKWL01000153.1_10,GCA_003133225.1,K01086,586.03,608.7,0.0
8962690,207,PLAH01000123.1_3,GCA_003134045.1,K01086,586.03,595.9,0.0
9043863,207,PLEY01000131.1_3,GCA_003136595.1,K01086,586.03,594.0,0.0
9063115,207,PLET01000125.1_115,GCA_003137095.1,K01086,586.03,594.3,0.0
9303136,207,PLZH01000058.1_52,GCA_003152055.1,K01086,586.03,600.5,0.0
9363460,207,PLYG01000429.1_12,GCA_003153335.1,K01086,586.03,616.3,0.0
9389208,207,PMBM01000048.1_17,GCA_003153855.1,K01086,586.03,587.4,0.0
9717520,207,PLUE01000037.1_85,GCA_003164785.1,K01086,586.03,595.7,0.0
9817725,207,PMSW01000076.1_30,GCA_003168215.1,K01086,586.03,588.5,0.0
10395901,207,QFPO01000014.1_69,GCA_003241385.1,K01086,586.03,590.7,0.0
10420162,207,QBMB01000019.1_25,GCA_003241965.1,K01086,586.03,626.3,0.0
10442404,207,QGUO01000081.1_9,GCA_003242495.1,K01086,586.03,600.9,0.0
10454608,207,QGVD01000056.1_2,GCA_003242685.1,K01086,586.03,592.8,0.0
10482941,207,QHCC01000001.1_6,GCA_003243915.1,K01086,586.03,594.3,0.0
10504818,207,QHBY01000601.1_16,GCA_003244245.1,K01086,586.03,603.6,0.0
10707702,207,KZ836119.1_42,GCA_003265685.1,K01086,586.03,614.0,0.0
11052492,207,QPGA01000026.1_12,GCA_003332265.1,K01086,586.03,603.8,0.0
