annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91833928,207,AP010656.1_640,GCA_000010645.1,K02586,532.23,633.2,0.0
91838550,207,CP000781.1_91,GCA_000017645.1,K02586,532.23,730.4,0.0
91879191,207,DS990592.1_4257,GCA_000155695.1,K02586,532.23,654.1,0.0
91924561,207,ADZZ01000138.1_18,GCA_000179315.1,K02586,532.23,652.3,0.0
13214,207,CP007053.1_199,GCA_000242935.3,K02586,532.23,646.1,0.0
13236,207,CP007053.1_260,GCA_000242935.3,K02586,532.23,559.9,0.0
15737,207,CM001438.1_1009,GCA_000244995.1,K02586,532.23,725.2,0.0
53230,207,CP003083.1_1275,GCA_000306725.1,K02586,532.23,676.9,0.0
58104,207,ALAO01000123.1_4,GCA_000307955.1,K02586,532.23,658.3,0.0
58488,207,ALAO01000189.1_12,GCA_000307955.1,K02586,532.23,543.5,0.0
62016,207,AMGN01000049.1_9,GCA_000309865.1,K02586,532.23,563.6,0.0
64457,207,CM001633.1_4872,GCA_000309945.1,K02586,532.23,710.9,0.0
65201,207,CP003920.1_1315,GCA_000310245.1,K02586,532.23,696.4,0.0
76049,207,KB235926.1_1287,GCA_000332255.1,K02586,532.23,694.3,0.0
106652,207,KB904821.1_2326,GCA_000380225.1,K02586,532.23,679.9,0.0
187104,207,ATWE01000054.1_2,GCA_000421085.1,K02586,532.23,714.1,0.0
383111,207,HG425166.1_126,GCA_000499765.1,K02586,532.23,558.2,0.0
408899,207,KI911947.1_176,GCA_000517005.1,K02586,532.23,720.0,0.0
427906,207,JAFS01000001.1_952,GCA_000526255.1,K02586,532.23,719.4,0.0
453196,207,CBZS010000430.1_15,GCA_000613065.1,K02586,532.23,634.6,0.0
495004,207,JJNX02000025.1_7,GCA_000681355.2,K02586,532.23,621.1,0.0
597673,207,KL662192.1_74,GCA_000733415.1,K02586,532.23,709.2,0.0
600176,207,JPSP01000010.1_50,GCA_000737945.1,K02586,532.23,686.4,0.0
604371,207,DF820458.1_514,GCA_000739515.1,K02586,532.23,675.9,0.0
617606,207,JQGK01000001.1_296,GCA_000743525.1,K02586,532.23,683.4,0.0
625396,207,JQGL01000045.1_2,GCA_000747095.1,K02586,532.23,696.3,0.0
626392,207,JQDQ01000073.1_15,GCA_000747625.2,K02586,532.23,641.5,0.0
681685,207,JROS01000008.1_50,GCA_000769715.1,K02586,532.23,646.7,0.0
683774,207,JQID01000095.1_10,GCA_000770645.1,K02586,532.23,659.3,0.0
696738,207,JUEB01000015.1_24,GCA_000802095.1,K02586,532.23,665.6,0.0
710729,207,CCNB01000015.1_35,GCA_000824785.1,K02586,532.23,709.0,0.0
713910,207,CCNA01000013.1_19,GCA_000824805.1,K02586,532.23,709.3,0.0
718307,207,LM655202.1_253,GCA_000824825.2,K02586,532.23,709.5,0.0
721545,207,CCNC01000179.1_53,GCA_000824845.1,K02586,532.23,709.5,0.0
723092,207,AP014633.1_1782,GCA_000828835.1,K02586,532.23,709.5,0.0
724850,207,AP014683.1_1378,GCA_000828975.1,K02586,532.23,729.9,0.0
727305,207,JQIS01000066.1_21,GCA_000830175.1,K02586,532.23,685.8,0.0
728780,207,JQIT01000005.1_267,GCA_000830255.1,K02586,532.23,682.8,0.0
750230,207,LM997411.1_2060,GCA_000953475.1,K02586,532.23,721.9,0.0
767916,207,LADP01000032.1_46,GCA_000961575.1,K02586,532.23,653.1,0.0
770188,207,LADN01000053.1_46,GCA_000961585.1,K02586,532.23,655.4,0.0
772284,207,LADO01000055.1_81,GCA_000961595.1,K02586,532.23,639.5,0.0
779357,207,LADR01000085.1_8,GCA_000961655.1,K02586,532.23,661.2,0.0
783268,207,LADS01000004.1_70,GCA_000961725.1,K02586,532.23,658.0,0.0
786241,207,LAEA01000099.1_21,GCA_000961745.1,K02586,532.23,720.1,0.0
792483,207,LADV01000299.1_1,GCA_000961805.1,K02586,532.23,650.3,0.0
818629,207,CCRI01000031.1_18,GCA_000985875.1,K02586,532.23,698.7,0.0
821975,207,CCRN01000023.1_28,GCA_000985895.1,K02586,532.23,698.6,0.0
827556,207,LBIU01000565.1_7,GCA_000987445.1,K02586,532.23,697.1,0.0
875745,207,CP011392.1_601,GCA_001005265.1,K02586,532.23,651.4,0.0
886305,207,LDXJ01000058.1_157,GCA_001029295.1,K02586,532.23,669.7,0.0
894013,207,LFCU01000132.1_3,GCA_001044195.1,K02586,532.23,654.4,0.0
921660,207,LGTB01000010.1_75,GCA_001238275.1,K02586,532.23,723.0,0.0
1025235,207,BBCK01000057.1_25,GCA_001312005.1,K02586,532.23,720.0,0.0
1050346,207,LJZR01000021.1_67,GCA_001314865.1,K02586,532.23,688.2,0.0
1053023,207,LJZT01000032.1_5,GCA_001314905.1,K02586,532.23,658.2,0.0
1109486,207,LKPX01000013.1_55,GCA_001443525.1,K02586,532.23,656.9,0.0
1110563,207,LKPX01000006.1_66,GCA_001443525.1,K02586,532.23,547.4,0.0
1119503,207,LIUG01000026.1_15,GCA_001462245.1,K02586,532.23,640.6,0.0
1119568,207,LIUG01000033.1_62,GCA_001462245.1,K02586,532.23,638.2,0.0
1230645,207,FAXN01000036.1_11,GCA_001493195.1,K02586,532.23,693.7,0.0
1248402,207,LGFT01000081.1_4,GCA_001509375.1,K02586,532.23,621.9,0.0
1259634,207,LPWA01000161.1_13,GCA_001510895.1,K02586,532.23,532.3,0.0
1319273,207,LOEW01000092.1_14,GCA_001516045.1,K02586,532.23,668.9,0.0
1321505,207,LOEZ01000019.1_87,GCA_001516055.1,K02586,532.23,649.9,0.0
1454387,207,LUYE01000048.1_19,GCA_001602645.1,K02586,532.23,642.8,0.0
1457966,207,LUZT01000006.1_398,GCA_001602925.1,K02586,532.23,551.2,0.0
1458333,207,LUZT01000011.1_99,GCA_001602925.1,K02586,532.23,682.9,0.0
1461453,207,LVAS01000062.1_9,GCA_001603035.1,K02586,532.23,615.8,0.0
1462051,207,LVAZ01000212.1_9,GCA_001603055.1,K02586,532.23,643.7,0.0
1473060,207,LUYR01000161.1_4,GCA_001603335.1,K02586,532.23,670.0,0.0
1482870,207,LUZY01000003.1_129,GCA_001603805.1,K02586,532.23,649.6,0.0
1485105,207,LUZZ01000315.1_5,GCA_001603845.1,K02586,532.23,670.7,0.0
1502160,207,LVBK01000047.1_7,GCA_001604385.1,K02586,532.23,633.9,0.0
1502535,207,LVBL01000030.1_14,GCA_001604405.1,K02586,532.23,634.0,0.0
1507788,207,LVBW01000006.1_6,GCA_001604585.1,K02586,532.23,662.4,0.0
1511889,207,LVWG01000032.1_133,GCA_001622165.1,K02586,532.23,675.5,0.0
