annotation_id,gtdb_version,gene_id,genome_id,ko,threshold,score,e_value
91839619,207,CP000781.1_1934,GCA_000017645.1,K01602,59.43,147.4,1.30321e-43
91855519,207,CT971583.1_680,GCA_000063505.1,K01602,59.43,121.2,7.100000000000001e-36
91856762,207,CT978603.1_821,GCA_000063525.1,K01602,59.43,117.7,7.8e-35
91861299,207,FP565575.1_1849,GCA_000091165.1,K01602,59.43,157.7,0.0
91919004,207,ABYL01000151.1_14,GCA_000173575.1,K01602,59.43,158.8,0.0
91938547,207,AFHY01000005.1_32,GCA_000213395.2,K01602,59.43,149.1,8.407789999999999e-45
91941428,207,GL947594.1_537,GCA_000218705.1,K01602,59.43,120.7,7.600000000000001e-36
91942498,207,GL947595.1_1069,GCA_000218745.1,K01602,59.43,122.4,2e-36
8527,207,AGIG01000034.1_34,GCA_000227525.2,K01602,59.43,136.3,1.5000100000000002e-40
11308,207,CP003179.1_2933,GCA_000237975.1,K01602,59.43,156.3,0.0
15273,207,CM001438.1_179,GCA_000244995.1,K01602,59.43,147.2,1.49939e-43
22813,207,JH610699.1_2,GCA_000252485.1,K01602,59.43,170.2,0.0
38192,207,AKCV02000026.1_466,GCA_000272025.2,K01602,59.43,163.3,0.0
44121,207,ALPF01000045.1_3,GCA_000291825.1,K01602,59.43,122.4,1.1e-36
62802,207,CM001633.1_1313,GCA_000309945.1,K01602,59.43,175.7,0.0
68404,207,CP003940.1_118,GCA_000317655.1,K01602,59.43,163.1,0.0
75457,207,KB235926.1_83,GCA_000332255.1,K01602,59.43,177.1,0.0
99606,207,KB889825.1_6,GCA_000372785.1,K01602,59.43,144.0,4.1058e-43
101712,207,KB899087.1_2556,GCA_000378025.1,K01602,59.43,144.5,9.09443e-43
106856,207,KB904821.1_2764,GCA_000380225.1,K01602,59.43,173.5,0.0
184216,207,ATWE01000002.1_434,GCA_000421085.1,K01602,59.43,152.9,2.8026e-45
355024,207,CP006668.1_1444,GCA_000471925.1,K01602,59.43,149.9,3.3631200000000004e-44
427828,207,JAFS01000001.1_817,GCA_000526255.1,K01602,59.43,139.1,2.09999e-41
453363,207,CBZS010000533.1_3,GCA_000613065.1,K01602,59.43,62.1,2.4e-17
483041,207,JFLJ01000108.1_3,GCA_000634115.1,K01602,59.43,121.2,5e-36
484787,207,JFLX01000006.1_5,GCA_000634215.1,K01602,59.43,121.2,5.1000000000000004e-36
485373,207,JFNH01000096.1_4,GCA_000634415.1,K01602,59.43,123.2,9.500000000000001e-37
486106,207,JFNU01000005.1_101,GCA_000634515.1,K01602,59.43,121.2,5e-36
487029,207,JFLG01000066.1_115,GCA_000634735.1,K01602,59.43,121.2,5e-36
487834,207,JFMR01000045.1_106,GCA_000635015.1,K01602,59.43,123.2,1.3e-36
488733,207,JFLW01000003.1_61,GCA_000635495.1,K01602,59.43,123.2,1.2e-36
489497,207,JFMF01000140.1_39,GCA_000635535.1,K01602,59.43,121.2,3.9e-36
494016,207,JFHF01000077.1_4,GCA_000648925.1,K01602,59.43,167.4,0.0
513291,207,JJOH01000062.1_1,GCA_000696115.1,K01602,59.43,234.7,0.0
